""
"Test Method","Prosthetic Ankle Compression.msm"
"Sample I. D.","Prosthetic Ankle 1-9-18.mss"
"Specimen Number","8"

"Time (s)","Load (N)","Crosshead (mm)"

0.300,9,0.07
0.400,12,0.12
0.500,14,0.17
0.600,19,0.22
0.700,41,0.27
0.800,75,0.32
0.900,116,0.37
1.000,160,0.42
1.100,207,0.47
1.200,254,0.52
1.300,302,0.57
1.400,350,0.62
1.500,398,0.67
1.600,446,0.72
1.700,494,0.77
1.800,542,0.82
1.900,591,0.87
2.000,638,0.92
2.100,686,0.97
2.200,734,1.01
2.300,782,1.06
2.400,830,1.11
2.500,878,1.16
2.600,927,1.21
2.700,975,1.26
2.800,1024,1.31
2.900,1073,1.36
3.000,1121,1.41
3.100,1171,1.46
3.200,1219,1.51
3.300,1268,1.56
3.400,1317,1.61
3.500,1365,1.66
3.600,1414,1.71
3.700,1463,1.76
3.800,1513,1.81
3.900,1562,1.86
4.000,1611,1.91
4.100,1659,1.96
4.200,1707,2.01
4.300,1756,2.06
4.400,1805,2.11
4.500,1854,2.16
4.600,1902,2.21
4.700,1950,2.26
4.800,1999,2.31
4.900,2047,2.36
5.000,2095,2.41
5.100,2144,2.46
5.200,2192,2.51
5.300,2240,2.56
5.400,2288,2.61
5.500,2337,2.66
5.600,2385,2.71
5.700,2434,2.76
5.800,2481,2.81
5.900,2530,2.87
6.000,2578,2.92
6.100,2626,2.97
6.170,2660,3.00
6.300,2691,2.99
6.400,2639,2.94
6.500,2588,2.90
6.600,2537,2.85
6.700,2486,2.80
6.800,2435,2.75
6.900,2383,2.70
7.000,2333,2.65
7.100,2283,2.59
7.200,2232,2.55
7.300,2183,2.50
7.400,2133,2.45
7.500,2083,2.40
7.600,2033,2.35
7.700,1984,2.30
7.800,1934,2.25
7.900,1885,2.20
8.000,1836,2.15
8.100,1787,2.10
8.200,1738,2.05
8.300,1689,2.00
8.400,1640,1.95
8.500,1591,1.90
8.600,1542,1.85
8.700,1493,1.80
8.800,1444,1.75
8.900,1395,1.70
9.000,1347,1.65
9.100,1299,1.60
9.200,1250,1.55
9.300,1202,1.50
9.400,1153,1.45
9.500,1105,1.40
9.600,1057,1.35
9.700,1009,1.30
9.800,961,1.25
9.900,912,1.20
10.000,864,1.15
10.100,816,1.10
10.200,768,1.05
10.300,720,1.00
10.400,672,0.95
10.500,625,0.90
10.600,577,0.85
10.700,529,0.80
10.800,482,0.75
10.900,435,0.70
11.000,387,0.65
11.100,341,0.60
11.200,295,0.55
11.300,249,0.50
11.400,204,0.45
11.500,159,0.40
11.600,117,0.35
11.700,77,0.30
11.800,42,0.25
11.900,19,0.20
12.000,14,0.15
12.100,12,0.10
12.200,10,0.05
12.300,8,0.00
12.300,8,0.00


