Time(s)	Extension(mm)	Load(N)
0.001	0.000	0.001
0.023	0.000	0.001
0.052	0.000	0.001
0.104	0.000	0.001
0.153	0.000	0.001
0.206	0.000	0.001
0.256	0.000	0.001
0.304	0.000	0.001
0.357	0.000	0.001
0.401	0.000	0.001
0.454	0.000	0.001
0.502	0.000	0.001
0.556	0.000	0.001
0.604	0.000	0.001
0.652	0.000	0.001
0.706	0.000	0.001
0.757	0.000	0.001
0.804	0.000	0.001
0.852	0.000	0.001
0.904	0.000	0.001
0.954	0.000	0.001
1.008	0.000	0.001
1.056	0.000	0.001
1.103	0.000	0.001
1.154	0.000	0.001
1.203	0.000	0.001
1.254	0.000	0.001
1.305	0.000	0.001
1.358	0.000	0.001
1.405	0.000	0.001
1.452	0.000	0.001
1.504	0.000	0.001
1.557	0.000	0.001
1.604	0.000	0.001
1.654	0.000	0.001
1.707	0.000	0.001
1.755	0.000	0.001
1.802	0.000	0.001
1.853	0.000	0.001
1.906	0.000	0.001
1.954	0.000	0.001
2.008	0.000	0.001
2.057	0.000	0.001
2.104	0.000	0.001
2.158	0.000	0.001
2.203	0.000	0.001
2.255	0.000	0.001
2.303	0.000	0.001
2.357	0.000	0.001
2.407	0.000	0.001
2.453	0.000	0.001
2.507	0.000	0.001
2.552	0.000	0.001
2.605	0.000	0.001
2.653	0.000	0.001
2.705	0.000	0.001
2.755	0.000	0.001
2.802	0.000	0.001
2.857	0.000	0.001
2.904	0.000	0.001
2.955	0.000	0.001
3.003	0.000	0.001
3.055	0.000	0.001
3.105	0.000	0.001
3.152	0.000	0.001
3.207	0.000	0.001
3.253	0.000	0.001
3.304	0.000	0.001
3.358	0.000	0.001
3.404	0.000	0.001
3.454	0.000	0.001
3.507	0.000	0.001
3.555	0.000	0.001
3.603	0.000	0.001
3.653	0.000	0.001
3.707	0.000	0.001
3.754	0.000	0.001
3.808	0.000	0.001
3.857	0.000	0.001
3.905	0.000	0.001
3.953	0.000	0.001
4.003	0.000	0.001
4.055	0.000	0.001
4.103	0.000	0.001
4.157	0.000	0.001
4.206	0.000	0.001
4.253	0.000	0.001
4.308	0.000	0.001
4.353	0.000	0.001
4.405	0.000	0.001
4.453	0.000	0.001
4.506	0.000	0.001
4.555	0.000	0.001
4.602	0.000	0.001
4.657	0.000	0.001
4.704	0.000	0.001
4.755	0.000	0.001
4.803	0.000	0.001
4.856	0.000	0.001
4.905	0.000	0.001
4.954	0.000	0.001
5.008	0.000	0.001
5.055	0.000	0.001
5.106	0.000	0.001
5.153	0.000	0.001
5.207	0.000	0.001
5.256	0.000	0.001
5.303	0.000	0.001
5.357	0.000	0.001
5.404	0.000	0.001
5.455	0.000	0.001
5.502	0.000	0.001
