Time(s)	Extension(mm)	Load(N)
0.001	0.000	0.001
0.017	0.000	0.001
0.047	0.000	0.001
0.097	0.000	0.001
0.149	0.000	0.001
0.200	0.000	0.001
0.250	0.000	0.000
0.297	0.000	0.001
0.347	0.000	0.001
0.397	0.000	0.000
0.447	0.000	0.001
0.499	0.000	0.000
0.549	0.000	0.001
0.599	0.000	0.001
0.650	0.000	0.001
0.697	0.000	0.001
0.747	0.000	0.001
0.801	-0.000	0.000
0.865	-0.000	0.001
0.917	-0.000	0.001
0.965	-0.010	0.001
1.016	-0.010	0.000
1.066	-0.010	0.001
1.118	-0.010	0.001
1.166	-0.010	0.001
1.225	-0.010	0.001
1.268	-0.020	0.000
1.315	-0.020	0.000
1.366	-0.020	0.001
1.417	-0.020	0.000
1.468	-0.020	0.001
1.515	-0.020	0.000
1.567	-0.030	0.001
1.616	-0.030	0.001
1.672	-0.030	0.000
1.715	-0.030	0.001
1.765	-0.030	0.000
1.816	-0.030	0.001
1.868	-0.040	0.000
1.923	-0.040	0.001
1.968	-0.040	0.000
2.015	-0.040	0.001
2.067	-0.040	0.000
2.126	-0.040	0.001
2.168	-0.050	0.000
2.215	-0.050	0.000
2.266	-0.050	0.001
2.315	-0.050	0.000
2.363	-0.050	0.000
2.407	-0.050	-0.001
2.467	-0.060	-0.002
2.517	-0.060	-0.002
2.573	-0.060	-0.002
2.615	-0.060	-0.003
2.664	-0.060	-0.003
2.715	-0.060	-0.004
2.765	-0.070	-0.004
2.816	-0.070	-0.005
2.866	-0.070	-0.005
2.918	-0.070	-0.005
2.965	-0.070	-0.006
3.023	-0.070	-0.006
3.065	-0.080	-0.006
3.115	-0.080	-0.006
3.166	-0.080	-0.007
3.216	-0.080	-0.007
3.267	-0.080	-0.007
3.323	-0.080	-0.007
3.366	-0.090	-0.008
3.415	-0.090	-0.008
3.474	-0.090	-0.009
3.516	-0.090	-0.009
3.566	-0.090	-0.009
3.618	-0.090	-0.009
3.665	-0.100	-0.009
3.716	-0.100	-0.010
3.766	-0.100	-0.010
3.817	-0.100	-0.010
3.868	-0.100	-0.010
3.926	-0.100	-0.011
3.972	-0.110	-0.011
4.016	-0.110	-0.012
4.067	-0.110	-0.012
4.116	-0.110	-0.012
4.167	-0.110	-0.012
4.217	-0.110	-0.012
4.268	-0.120	-0.013
4.322	-0.120	-0.013
4.366	-0.120	-0.013
4.417	-0.120	-0.013
4.467	-0.120	-0.014
4.518	-0.120	-0.014
4.569	-0.130	-0.015
4.623	-0.130	-0.015
4.673	-0.130	-0.015
4.716	-0.130	-0.015
4.767	-0.130	-0.016
4.826	-0.130	-0.015
4.868	-0.140	-0.016
4.918	-0.140	-0.016
4.972	-0.140	-0.017
5.023	-0.140	-0.016
5.065	-0.140	-0.017
5.117	-0.140	-0.017
5.168	-0.150	-0.017
5.218	-0.150	-0.017
5.276	-0.150	-0.018
5.322	-0.150	-0.018
5.368	-0.150	-0.018
5.415	-0.150	-0.018
5.466	-0.160	-0.018
5.518	-0.160	-0.019
5.568	-0.160	-0.019
5.623	-0.160	-0.019
5.672	-0.160	-0.019
5.722	-0.160	-0.020
5.765	-0.170	-0.020
5.816	-0.170	-0.020
5.868	-0.170	-0.020
5.917	-0.170	-0.020
5.968	-0.170	-0.020
6.018	-0.170	-0.021
6.065	-0.180	-0.021
6.115	-0.180	-0.021
6.166	-0.180	-0.021
6.218	-0.180	-0.021
6.267	-0.180	-0.021
6.318	-0.180	-0.022
6.368	-0.190	-0.022
6.423	-0.190	-0.022
6.473	-0.190	-0.022
6.516	-0.190	-0.023
6.567	-0.190	-0.023
6.625	-0.190	-0.023
6.667	-0.200	-0.023
6.718	-0.200	-0.023
6.768	-0.200	-0.024
6.818	-0.200	-0.023
6.865	-0.200	-0.024
6.916	-0.200	-0.024
6.968	-0.210	-0.024
7.017	-0.210	-0.024
7.075	-0.210	-0.025
7.117	-0.210	-0.025
7.166	-0.210	-0.025
7.217	-0.210	-0.025
7.272	-0.220	-0.025
7.315	-0.220	-0.026
7.364	-0.220	-0.026
7.415	-0.220	-0.026
7.465	-0.220	-0.027
7.523	-0.220	-0.026
7.564	-0.230	-0.027
7.616	-0.230	-0.027
7.667	-0.230	-0.027
7.716	-0.230	-0.027
7.766	-0.230	-0.028
7.816	-0.230	-0.028
7.867	-0.240	-0.028
7.916	-0.240	-0.028
7.968	-0.240	-0.028
8.014	-0.240	-0.028
8.068	-0.240	-0.029
8.114	-0.240	-0.029
8.168	-0.250	-0.029
8.214	-0.250	-0.029
8.264	-0.250	-0.030
8.315	-0.250	-0.030
8.366	-0.250	-0.030
8.424	-0.250	-0.030
8.466	-0.260	-0.030
8.516	-0.260	-0.031
8.566	-0.260	-0.031
8.616	-0.260	-0.031
8.667	-0.260	-0.032
8.718	-0.260	-0.032
8.764	-0.270	-0.032
8.814	-0.270	-0.032
8.868	-0.270	-0.033
8.922	-0.270	-0.033
8.968	-0.270	-0.033
9.014	-0.270	-0.034
9.066	-0.280	-0.034
9.116	-0.280	-0.034
9.166	-0.280	-0.035
9.217	-0.280	-0.035
9.266	-0.280	-0.036
9.325	-0.280	-0.036
9.366	-0.290	-0.037
9.418	-0.290	-0.037
9.468	-0.290	-0.038
9.518	-0.290	-0.038
9.568	-0.290	-0.038
9.619	-0.290	-0.039
9.665	-0.300	-0.039
9.716	-0.300	-0.039
9.767	-0.300	-0.040
9.817	-0.300	-0.040
9.867	-0.300	-0.041
9.917	-0.300	-0.041
9.967	-0.310	-0.042
10.017	-0.310	-0.042
10.067	-0.310	-0.043
10.118	-0.310	-0.043
10.169	-0.310	-0.043
10.219	-0.310	-0.044
10.269	-0.320	-0.044
10.321	-0.320	-0.045
10.369	-0.320	-0.045
10.419	-0.320	-0.046
10.465	-0.320	-0.046
10.516	-0.320	-0.047
10.567	-0.330	-0.047
10.616	-0.330	-0.048
10.675	-0.330	-0.048
10.716	-0.330	-0.048
10.766	-0.330	-0.048
10.816	-0.330	-0.049
10.868	-0.340	-0.049
10.919	-0.340	-0.050
10.968	-0.340	-0.050
11.019	-0.340	-0.051
11.069	-0.340	-0.052
11.127	-0.340	-0.052
11.168	-0.350	-0.052
11.215	-0.350	-0.053
11.266	-0.350	-0.053
11.315	-0.350	-0.053
11.366	-0.350	-0.053
11.415	-0.350	-0.054
11.466	-0.360	-0.054
11.516	-0.360	-0.055
11.567	-0.360	-0.055
11.618	-0.360	-0.055
11.667	-0.360	-0.055
11.718	-0.360	-0.056
11.767	-0.370	-0.056
11.818	-0.370	-0.056
11.867	-0.370	-0.056
11.919	-0.370	-0.057
11.965	-0.370	-0.057
12.019	-0.370	-0.057
12.065	-0.380	-0.057
12.119	-0.380	-0.058
12.165	-0.380	-0.058
12.215	-0.380	-0.059
12.265	-0.380	-0.059
12.317	-0.380	-0.059
12.367	-0.390	-0.059
12.417	-0.390	-0.060
12.475	-0.390	-0.060
12.517	-0.390	-0.060
12.566	-0.390	-0.060
12.617	-0.390	-0.060
12.668	-0.400	-0.061
12.719	-0.400	-0.061
12.768	-0.400	-0.061
12.819	-0.400	-0.062
12.869	-0.400	-0.062
12.915	-0.400	-0.063
12.969	-0.410	-0.063
13.016	-0.410	-0.063
13.067	-0.410	-0.063
13.116	-0.410	-0.063
13.167	-0.410	-0.064
13.215	-0.410	-0.064
13.266	-0.420	-0.064
13.315	-0.420	-0.064
13.367	-0.420	-0.065
13.417	-0.420	-0.066
13.466	-0.420	-0.066
13.517	-0.420	-0.066
13.566	-0.430	-0.066
13.617	-0.430	-0.067
13.666	-0.430	-0.067
13.716	-0.430	-0.067
13.767	-0.430	-0.067
13.825	-0.430	-0.068
13.867	-0.440	-0.068
13.917	-0.440	-0.069
13.967	-0.440	-0.069
14.016	-0.440	-0.070
14.067	-0.440	-0.070
14.118	-0.440	-0.070
14.169	-0.450	-0.070
14.218	-0.450	-0.071
14.276	-0.450	-0.071
14.317	-0.450	-0.071
14.367	-0.450	-0.072
14.417	-0.450	-0.072
14.469	-0.460	-0.072
14.519	-0.460	-0.073
14.568	-0.460	-0.073
14.619	-0.460	-0.074
14.669	-0.460	-0.074
14.727	-0.460	-0.074
14.768	-0.470	-0.074
14.815	-0.470	-0.075
14.866	-0.470	-0.075
14.919	-0.470	-0.076
14.969	-0.470	-0.076
15.019	-0.470	-0.076
15.073	-0.480	-0.077
15.119	-0.480	-0.077
15.165	-0.480	-0.077
15.216	-0.480	-0.078
15.265	-0.480	-0.078
15.316	-0.480	-0.079
15.365	-0.490	-0.079
15.415	-0.490	-0.080
15.465	-0.490	-0.079
15.515	-0.490	-0.080
15.567	-0.490	-0.080
15.624	-0.490	-0.081
15.666	-0.500	-0.081
15.716	-0.500	-0.082
15.767	-0.500	-0.083
15.816	-0.500	-0.084
15.866	-0.500	-0.085
15.918	-0.500	-0.085
15.968	-0.510	-0.086
16.017	-0.510	-0.086
16.075	-0.510	-0.087
16.117	-0.510	-0.088
16.166	-0.510	-0.088
16.217	-0.510	-0.089
16.267	-0.520	-0.089
16.318	-0.520	-0.091
16.367	-0.520	-0.091
16.418	-0.520	-0.092
16.468	-0.520	-0.093
16.525	-0.520	-0.094
16.567	-0.530	-0.095
16.618	-0.530	-0.095
16.669	-0.530	-0.096
16.718	-0.530	-0.097
16.768	-0.530	-0.097
16.817	-0.530	-0.098
16.868	-0.540	-0.098
16.918	-0.540	-0.099
16.969	-0.540	-0.100
17.015	-0.540	-0.101
17.069	-0.540	-0.102
17.126	-0.540	-0.103
17.167	-0.550	-0.103
17.219	-0.550	-0.104
17.274	-0.550	-0.104
17.317	-0.550	-0.105
17.374	-0.550	-0.106
17.425	-0.550	-0.107
17.468	-0.560	-0.107
17.523	-0.560	-0.108
17.567	-0.560	-0.109
17.618	-0.560	-0.110
17.674	-0.560	-0.111
17.718	-0.560	-0.111
17.774	-0.570	-0.112
17.817	-0.570	-0.113
17.876	-0.570	-0.113
17.920	-0.570	-0.114
17.974	-0.570	-0.115
18.022	-0.570	-0.115
18.074	-0.580	-0.116
18.117	-0.580	-0.117
18.168	-0.580	-0.118
18.225	-0.580	-0.119
18.267	-0.580	-0.119
18.327	-0.580	-0.120
18.374	-0.590	-0.121
18.419	-0.590	-0.121
18.474	-0.590	-0.122
18.525	-0.590	-0.122
18.569	-0.590	-0.124
18.620	-0.590	-0.124
18.667	-0.600	-0.125
18.718	-0.600	-0.126
18.775	-0.600	-0.127
18.819	-0.600	-0.128
18.869	-0.600	-0.128
18.916	-0.600	-0.129
18.967	-0.610	-0.130
19.023	-0.610	-0.130
19.075	-0.610	-0.131
19.125	-0.610	-0.131
19.175	-0.610	-0.132
19.225	-0.610	-0.133
19.269	-0.620	-0.134
19.324	-0.620	-0.135
19.367	-0.620	-0.135
19.419	-0.620	-0.136
19.474	-0.620	-0.137
19.518	-0.620	-0.138
19.574	-0.630	-0.139
19.616	-0.630	-0.139
19.676	-0.630	-0.139
19.719	-0.630	-0.140
19.774	-0.630	-0.141
19.818	-0.630	-0.142
19.874	-0.640	-0.143
19.917	-0.640	-0.144
19.968	-0.640	-0.144
20.025	-0.640	-0.145
20.067	-0.640	-0.146
20.127	-0.640	-0.147
20.173	-0.650	-0.147
20.218	-0.650	-0.148
20.273	-0.650	-0.148
20.324	-0.650	-0.149
20.368	-0.650	-0.149
20.419	-0.650	-0.151
20.475	-0.660	-0.151
20.520	-0.660	-0.152
20.574	-0.660	-0.153
20.618	-0.660	-0.154
20.669	-0.660	-0.155
20.725	-0.660	-0.156
20.767	-0.670	-0.157
20.823	-0.670	-0.157
20.875	-0.670	-0.158
20.918	-0.670	-0.159
20.967	-0.670	-0.159
21.026	-0.670	-0.160
21.070	-0.680	-0.161
21.125	-0.680	-0.162
21.168	-0.680	-0.163
21.219	-0.680	-0.164
21.267	-0.680	-0.165
21.323	-0.680	-0.166
21.367	-0.690	-0.167
21.418	-0.690	-0.167
21.478	-0.690	-0.168
21.516	-0.690	-0.168
21.567	-0.690	-0.169
21.619	-0.690	-0.170
21.667	-0.700	-0.171
21.723	-0.700	-0.172
21.775	-0.700	-0.173
21.819	-0.700	-0.174
21.873	-0.700	-0.175
21.924	-0.700	-0.176
21.967	-0.710	-0.177
22.024	-0.710	-0.177
22.068	-0.710	-0.178
22.119	-0.710	-0.178
22.175	-0.710	-0.179
22.217	-0.710	-0.180
22.274	-0.720	-0.181
22.325	-0.720	-0.182
22.369	-0.720	-0.183
22.425	-0.720	-0.184
22.467	-0.720	-0.185
22.520	-0.720	-0.185
22.574	-0.730	-0.187
22.617	-0.730	-0.187
22.669	-0.730	-0.188
22.725	-0.730	-0.188
22.770	-0.730	-0.190
22.824	-0.730	-0.190
22.867	-0.740	-0.191
22.919	-0.740	-0.192
22.975	-0.740	-0.193
23.017	-0.740	-0.194
23.069	-0.740	-0.195
23.117	-0.740	-0.196
23.169	-0.750	-0.197
23.224	-0.750	-0.197
23.275	-0.750	-0.198
23.319	-0.750	-0.199
23.373	-0.750	-0.200
23.417	-0.750	-0.200
23.474	-0.760	-0.202
23.517	-0.760	-0.202
23.568	-0.760	-0.203
23.625	-0.760	-0.205
23.667	-0.760	-0.205
23.727	-0.760	-0.206
23.774	-0.770	-0.207
23.818	-0.770	-0.208
23.874	-0.770	-0.208
23.925	-0.770	-0.209
23.968	-0.770	-0.210
24.019	-0.770	-0.211
24.067	-0.780	-0.212
24.120	-0.780	-0.213
24.175	-0.780	-0.214
24.218	-0.780	-0.215
24.269	-0.780	-0.216
24.325	-0.780	-0.217
24.367	-0.790	-0.217
24.419	-0.790	-0.218
24.474	-0.790	-0.219
24.518	-0.790	-0.220
24.574	-0.790	-0.220
24.625	-0.790	-0.222
24.669	-0.800	-0.222
24.724	-0.800	-0.223
24.767	-0.800	-0.224
24.819	-0.800	-0.226
24.875	-0.800	-0.226
24.919	-0.800	-0.227
24.975	-0.810	-0.228
25.017	-0.810	-0.229
25.077	-0.810	-0.229
25.124	-0.810	-0.230
25.175	-0.810	-0.231
25.219	-0.810	-0.232
25.275	-0.820	-0.233
25.319	-0.820	-0.234
25.369	-0.820	-0.235
25.417	-0.820	-0.236
25.468	-0.820	-0.237
25.527	-0.820	-0.237
25.574	-0.830	-0.238
25.618	-0.830	-0.239
25.673	-0.830	-0.240
25.724	-0.830	-0.240
25.767	-0.830	-0.241
25.818	-0.830	-0.242
25.874	-0.840	-0.243
25.916	-0.840	-0.244
25.969	-0.840	-0.246
26.025	-0.840	-0.246
26.067	-0.840	-0.247
26.118	-0.840	-0.248
26.169	-0.850	-0.249
26.225	-0.850	-0.249
26.267	-0.850	-0.251
26.318	-0.850	-0.251
26.366	-0.850	-0.252
26.426	-0.850	-0.253
26.469	-0.860	-0.254
26.524	-0.860	-0.255
26.567	-0.860	-0.256
26.618	-0.860	-0.257
26.670	-0.860	-0.258
26.717	-0.860	-0.259
26.769	-0.870	-0.260
26.823	-0.870	-0.260
26.875	-0.870	-0.261
26.917	-0.870	-0.262
26.968	-0.870	-0.263
27.024	-0.870	-0.264
27.068	-0.880	-0.265
27.124	-0.880	-0.266
27.175	-0.880	-0.267
27.219	-0.880	-0.268
27.270	-0.880	-0.269
27.329	-0.880	-0.270
27.367	-0.890	-0.271
27.420	-0.890	-0.271
27.476	-0.890	-0.272
27.518	-0.890	-0.273
27.569	-0.890	-0.274
27.620	-0.890	-0.275
27.676	-0.900	-0.276
27.718	-0.900	-0.277
27.770	-0.900	-0.278
27.818	-0.900	-0.280
27.868	-0.900	-0.280
27.920	-0.900	-0.281
27.970	-0.910	-0.282
28.017	-0.910	-0.283
28.068	-0.910	-0.283
28.120	-0.910	-0.284
28.168	-0.910	-0.285
28.227	-0.910	-0.286
28.270	-0.920	-0.287
28.324	-0.920	-0.289
28.368	-0.920	-0.289
28.418	-0.920	-0.291
28.470	-0.920	-0.292
28.518	-0.920	-0.293
28.570	-0.930	-0.293
28.620	-0.930	-0.294
28.675	-0.930	-0.295
28.718	-0.930	-0.296
28.769	-0.930	-0.297
28.820	-0.930	-0.298
28.868	-0.940	-0.299
28.920	-0.940	-0.300
28.970	-0.940	-0.301
29.018	-0.940	-0.302
29.068	-0.940	-0.303
29.128	-0.940	-0.304
29.174	-0.950	-0.305
29.219	-0.950	-0.305
29.270	-0.950	-0.307
29.325	-0.950	-0.307
29.368	-0.950	-0.308
29.420	-0.950	-0.309
29.475	-0.960	-0.311
29.526	-0.960	-0.312
29.570	-0.960	-0.313
29.625	-0.960	-0.314
29.668	-0.960	-0.315
29.719	-0.960	-0.315
29.770	-0.970	-0.317
29.826	-0.970	-0.317
29.868	-0.970	-0.318
29.920	-0.970	-0.319
29.968	-0.970	-0.320
30.028	-0.970	-0.321
30.074	-0.980	-0.322
30.125	-0.980	-0.324
30.168	-0.980	-0.325
30.219	-0.980	-0.326
30.275	-0.980	-0.327
30.319	-0.980	-0.328
30.375	-0.990	-0.328
30.425	-0.990	-0.329
30.476	-0.990	-0.330
30.519	-0.990	-0.331
30.570	-0.990	-0.332
30.626	-0.990	-0.333
30.670	-1.000	-0.334
30.726	-1.000	-0.336
30.767	-1.000	-0.336
30.820	-1.000	-0.338
30.874	-1.000	-0.338
30.925	-1.000	-0.340
30.968	-1.010	-0.340
31.025	-1.010	-0.341
31.069	-1.010	-0.342
31.120	-1.010	-0.343
31.175	-1.010	-0.343
31.218	-1.010	-0.345
31.270	-1.020	-0.346
31.325	-1.020	-0.347
31.369	-1.020	-0.348
31.425	-1.020	-0.349
31.476	-1.020	-0.350
31.519	-1.020	-0.351
31.570	-1.030	-0.352
31.626	-1.030	-0.353
31.668	-1.030	-0.354
31.724	-1.030	-0.355
31.768	-1.030	-0.356
31.828	-1.030	-0.357
31.876	-1.040	-0.358
31.918	-1.040	-0.359
31.970	-1.040	-0.360
32.024	-1.040	-0.361
32.068	-1.040	-0.363
32.120	-1.040	-0.363
32.168	-1.050	-0.364
32.219	-1.050	-0.365
32.279	-1.050	-0.366
32.326	-1.050	-0.367
32.368	-1.050	-0.368
32.420	-1.050	-0.369
32.468	-1.060	-0.370
32.520	-1.060	-0.371
32.574	-1.060	-0.372
32.618	-1.060	-0.373
32.670	-1.060	-0.374
32.729	-1.060	-0.375
32.768	-1.070	-0.376
32.820	-1.070	-0.377
32.868	-1.070	-0.378
32.918	-1.070	-0.379
32.970	-1.070	-0.380
33.025	-1.070	-0.381
33.070	-1.080	-0.382
33.120	-1.080	-0.383
33.177	-1.080	-0.384
33.220	-1.080	-0.386
33.275	-1.080	-0.387
33.318	-1.080	-0.388
33.370	-1.090	-0.389
33.426	-1.090	-0.389
33.476	-1.090	-0.390
33.520	-1.090	-0.391
33.568	-1.090	-0.392
33.627	-1.090	-0.393
33.675	-1.100	-0.394
33.726	-1.100	-0.396
33.769	-1.100	-0.397
33.820	-1.100	-0.398
33.876	-1.100	-0.399
33.920	-1.100	-0.400
33.976	-1.110	-0.401
34.018	-1.110	-0.402
34.078	-1.110	-0.402
34.125	-1.110	-0.403
34.176	-1.110	-0.405
34.219	-1.110	-0.405
34.276	-1.120	-0.407
34.319	-1.120	-0.408
34.370	-1.120	-0.410
34.426	-1.120	-0.410
34.468	-1.120	-0.412
34.528	-1.120	-0.412
34.575	-1.130	-0.413
34.619	-1.130	-0.414
34.675	-1.130	-0.415
34.726	-1.130	-0.416
34.770	-1.130	-0.417
34.820	-1.130	-0.418
34.876	-1.140	-0.419
34.919	-1.140	-0.421
34.975	-1.140	-0.422
35.018	-1.140	-0.423
35.070	-1.140	-0.424
35.125	-1.140	-0.425
35.168	-1.150	-0.425
35.220	-1.150	-0.427
35.270	-1.150	-0.427
35.318	-1.150	-0.428
35.374	-1.150	-0.429
35.425	-1.150	-0.431
35.468	-1.160	-0.432
35.520	-1.160	-0.433
35.575	-1.160	-0.434
35.618	-1.160	-0.435
35.670	-1.160	-0.436
35.726	-1.160	-0.437
35.770	-1.170	-0.438
35.820	-1.170	-0.439
35.868	-1.170	-0.440
35.918	-1.170	-0.441
35.970	-1.170	-0.442
36.025	-1.170	-0.443
36.070	-1.180	-0.444
36.126	-1.180	-0.445
36.176	-1.180	-0.447
36.220	-1.180	-0.448
36.275	-1.180	-0.449
36.326	-1.180	-0.450
36.368	-1.190	-0.451
36.426	-1.190	-0.452
36.469	-1.190	-0.452
36.520	-1.190	-0.454
36.575	-1.190	-0.454
36.618	-1.190	-0.456
36.670	-1.200	-0.457
36.726	-1.200	-0.458
36.769	-1.200	-0.460
36.825	-1.200	-0.460
36.876	-1.200	-0.462
36.920	-1.200	-0.463
36.970	-1.210	-0.463
37.018	-1.210	-0.464
37.068	-1.210	-0.465
37.124	-1.210	-0.466
37.169	-1.210	-0.467
37.228	-1.210	-0.469
37.275	-1.220	-0.469
37.318	-1.220	-0.471
37.370	-1.220	-0.472
37.425	-1.220	-0.473
37.468	-1.220	-0.474
37.525	-1.220	-0.475
37.568	-1.230	-0.476
37.619	-1.230	-0.477
37.680	-1.230	-0.478
37.717	-1.230	-0.479
37.768	-1.230	-0.480
37.820	-1.230	-0.481
37.868	-1.240	-0.482
37.920	-1.240	-0.483
37.975	-1.240	-0.485
38.018	-1.240	-0.486
38.070	-1.240	-0.487
38.130	-1.240	-0.488
38.168	-1.250	-0.489
38.225	-1.250	-0.489
38.268	-1.250	-0.490
38.318	-1.250	-0.491
38.374	-1.250	-0.492
38.426	-1.250	-0.493
38.469	-1.260	-0.495
38.521	-1.260	-0.496
38.577	-1.260	-0.498
38.620	-1.260	-0.499
38.675	-1.260	-0.500
38.718	-1.260	-0.501
38.770	-1.270	-0.502
38.826	-1.270	-0.502
38.876	-1.270	-0.503
38.920	-1.270	-0.504
38.968	-1.270	-0.505
39.027	-1.270	-0.506
39.074	-1.280	-0.508
39.126	-1.280	-0.509
39.170	-1.280	-0.511
39.220	-1.280	-0.512
39.276	-1.280	-0.513
39.320	-1.280	-0.514
39.376	-1.290	-0.515
39.418	-1.290	-0.515
39.478	-1.290	-0.516
39.525	-1.290	-0.517
39.576	-1.290	-0.519
39.619	-1.290	-0.519
39.676	-1.300	-0.521
39.719	-1.300	-0.522
39.770	-1.300	-0.524
39.826	-1.300	-0.525
39.869	-1.300	-0.526
39.928	-1.300	-0.526
39.975	-1.310	-0.528
40.020	-1.310	-0.528
40.076	-1.310	-0.529
40.117	-1.310	-0.530
40.170	-1.310	-0.532
40.225	-1.310	-0.532
40.269	-1.320	-0.534
40.320	-1.320	-0.535
40.377	-1.320	-0.537
40.421	-1.320	-0.537
40.475	-1.320	-0.539
40.518	-1.320	-0.539
40.570	-1.330	-0.541
40.626	-1.330	-0.541
40.667	-1.330	-0.542
40.721	-1.330	-0.543
40.768	-1.330	-0.544
40.828	-1.330	-0.545
40.875	-1.340	-0.547
40.917	-1.340	-0.548
40.970	-1.340	-0.549
41.025	-1.340	-0.551
41.068	-1.340	-0.552
41.125	-1.340	-0.552
41.169	-1.350	-0.554
41.220	-1.350	-0.554
41.280	-1.350	-0.555
41.317	-1.350	-0.556
41.369	-1.350	-0.558
41.425	-1.350	-0.559
41.469	-1.360	-0.560
41.526	-1.360	-0.561
41.576	-1.360	-0.563
41.620	-1.360	-0.564
41.676	-1.360	-0.565
41.726	-1.360	-0.566
41.769	-1.370	-0.567
41.835	-1.370	-0.568
41.870	-1.370	-0.568
41.920	-1.370	-0.569
41.976	-1.370	-0.571
42.018	-1.370	-0.572
42.074	-1.380	-0.573
42.126	-1.380	-0.575
42.170	-1.380	-0.576
42.226	-1.380	-0.577
42.267	-1.380	-0.578
42.320	-1.380	-0.579
42.375	-1.390	-0.579
42.417	-1.390	-0.581
42.470	-1.390	-0.581
42.526	-1.390	-0.583
42.570	-1.390	-0.583
42.630	-1.390	-0.585
42.668	-1.400	-0.586
42.720	-1.400	-0.588
42.776	-1.400	-0.589
42.816	-1.400	-0.590
42.870	-1.400	-0.591
42.917	-1.400	-0.592
42.970	-1.410	-0.593
43.025	-1.410	-0.594
43.076	-1.410	-0.595
43.119	-1.410	-0.596
43.171	-1.410	-0.597
43.226	-1.410	-0.598
43.270	-1.420	-0.599
43.326	-1.420	-0.601
43.368	-1.420	-0.602
43.425	-1.420	-0.603
43.476	-1.420	-0.604
43.527	-1.420	-0.605
43.570	-1.430	-0.606
43.617	-1.430	-0.607
