Time(s)	Extension(mm)	Load(N)
0.001	0.000	0.000
0.019	0.000	0.000
0.038	0.000	0.000
0.087	0.000	0.000
0.138	0.000	0.000
0.188	0.000	0.000
0.240	0.000	0.000
0.286	0.000	0.000
0.340	0.000	0.000
0.388	0.000	0.000
0.437	0.000	0.000
0.488	0.000	0.000
0.537	0.000	0.000
0.590	0.000	0.000
0.640	0.000	0.000
0.685	0.000	0.000
0.738	0.000	0.000
0.788	0.000	0.000
0.838	0.000	0.000
0.887	0.000	0.000
0.940	0.000	0.000
0.990	0.000	0.000
1.040	0.000	0.000
1.090	0.000	0.000
1.138	0.000	0.000
1.188	0.000	0.000
1.245	-0.000	0.000
1.307	-0.000	0.000
1.359	-0.000	0.000
1.407	-0.010	0.000
1.458	-0.010	0.000
1.509	-0.010	0.000
1.556	-0.010	0.000
1.608	-0.010	0.000
1.658	-0.010	0.000
1.705	-0.020	0.000
1.757	-0.020	0.000
1.808	-0.020	0.001
1.863	-0.020	0.000
1.903	-0.020	0.000
1.955	-0.020	0.000
2.007	-0.030	0.000
2.056	-0.030	0.001
2.108	-0.030	0.000
2.155	-0.030	0.000
2.205	-0.030	0.000
2.255	-0.030	0.000
2.308	-0.040	0.000
2.358	-0.040	0.000
2.405	-0.040	0.001
2.456	-0.040	0.000
2.506	-0.040	0.000
2.565	-0.040	0.000
2.607	-0.050	0.000
2.656	-0.050	0.001
2.708	-0.050	0.000
2.757	-0.050	0.000
2.808	-0.050	0.000
2.854	-0.050	0.000
2.903	-0.060	0.001
2.958	-0.060	0.000
3.013	-0.060	0.000
3.056	-0.060	0.000
3.104	-0.060	0.000
3.152	-0.060	0.001
3.204	-0.070	0.000
3.256	-0.070	0.000
3.306	-0.070	0.000
3.356	-0.070	0.000
3.405	-0.070	0.001
3.464	-0.070	0.000
3.503	-0.080	0.001
3.556	-0.080	0.000
3.606	-0.080	0.000
3.656	-0.080	0.000
3.706	-0.080	0.000
3.748	-0.080	0.000
3.808	-0.090	0.000
3.856	-0.090	0.000
3.908	-0.090	0.001
3.954	-0.090	0.000
4.004	-0.090	0.000
4.055	-0.090	0.000
4.104	-0.100	0.000
4.156	-0.100	0.001
4.206	-0.100	0.000
