Time(s)	Extension(mm)	Load(N)
0.001	0.000	0.000
0.021	0.000	0.000
0.042	0.000	0.000
0.082	0.000	0.000
0.131	0.000	0.000
0.179	0.000	0.000
0.228	0.000	0.000
0.279	0.000	0.001
0.329	0.000	0.000
0.382	0.000	0.000
0.427	0.000	0.000
0.482	0.000	0.000
0.529	0.000	0.000
0.579	0.000	0.000
0.629	0.000	0.000
0.679	0.000	0.000
0.731	0.000	0.000
0.782	0.000	0.000
0.831	0.000	0.000
0.879	0.000	0.000
0.929	0.000	0.000
0.980	0.000	0.000
1.029	0.000	0.000
1.081	0.000	0.000
1.131	0.000	0.000
1.182	0.000	0.000
1.232	0.000	0.000
1.279	0.000	0.000
1.330	0.000	0.000
1.379	0.000	0.000
1.432	0.000	0.000
1.481	0.000	0.000
1.532	0.000	0.001
1.582	0.000	0.000
1.629	0.000	0.000
1.680	0.000	0.000
1.730	0.000	0.000
1.777	0.000	0.000
1.832	0.000	0.001
1.877	0.000	0.000
1.931	0.000	0.000
1.979	0.000	0.000
2.029	0.000	0.000
2.079	0.000	0.000
2.129	0.000	0.000
2.181	0.000	0.000
2.227	0.000	0.000
2.281	0.000	0.000
2.329	0.000	0.000
2.379	0.000	0.000
2.429	0.000	0.000
2.479	0.000	0.000
2.531	0.000	0.000
2.582	0.000	0.000
2.627	0.000	0.000
2.679	0.000	0.000
2.729	0.000	0.000
2.779	0.000	0.000
2.829	0.000	0.000
2.881	0.000	0.000
2.931	0.000	0.000
2.983	0.000	0.000
3.032	0.000	0.000
3.084	-0.000	0.000
3.150	-0.000	0.000
3.197	-0.000	0.000
3.256	-0.010	0.000
3.298	-0.010	0.001
3.351	-0.010	0.000
3.398	-0.010	0.001
3.448	-0.010	0.000
3.500	-0.010	0.000
3.547	-0.020	0.001
3.601	-0.020	0.000
3.648	-0.020	0.000
3.701	-0.020	0.000
3.747	-0.020	0.001
3.798	-0.020	0.000
3.849	-0.030	0.000
3.901	-0.030	0.000
3.947	-0.030	0.000
3.996	-0.030	0.000
4.048	-0.030	0.000
4.099	-0.030	0.001
4.150	-0.040	0.000
4.201	-0.040	0.000
4.248	-0.040	0.000
4.299	-0.040	0.001
4.348	-0.040	0.001
4.400	-0.040	0.000
4.447	-0.050	0.001
4.505	-0.050	0.000
4.548	-0.050	0.000
4.600	-0.050	0.000
4.651	-0.050	0.001
4.700	-0.050	0.000
4.751	-0.060	0.000
4.798	-0.060	0.000
4.849	-0.060	0.001
4.899	-0.060	0.001
4.950	-0.060	0.000
5.001	-0.060	0.000
5.050	-0.070	0.001
5.101	-0.070	0.000
5.148	-0.070	0.000
5.199	-0.070	0.001
5.248	-0.070	0.001
5.300	-0.070	0.000
5.347	-0.080	0.000
5.401	-0.080	0.000
5.458	-0.080	0.000
5.499	-0.080	0.001
5.549	-0.080	0.000
5.599	-0.080	0.001
5.650	-0.090	0.000
5.697	-0.090	0.000
5.746	-0.090	0.001
5.800	-0.090	0.001
5.856	-0.090	0.000
5.895	-0.090	0.000
5.950	-0.100	0.000
6.001	-0.100	0.000
6.048	-0.100	0.000
6.099	-0.100	0.000
6.149	-0.100	0.000
6.200	-0.100	0.001
6.247	-0.110	0.000
6.301	-0.110	0.001
6.347	-0.110	0.000
6.399	-0.110	0.000
6.447	-0.110	0.000
6.501	-0.110	0.001
6.547	-0.120	0.000
6.599	-0.120	0.000
6.649	-0.120	0.000
6.699	-0.120	0.000
6.751	-0.120	0.000
6.810	-0.120	0.000
6.851	-0.130	0.000
6.905	-0.130	0.000
6.948	-0.130	0.000
6.999	-0.130	0.000
7.049	-0.130	0.001
7.100	-0.130	0.000
7.151	-0.140	0.000
7.201	-0.140	0.000
7.251	-0.140	0.000
7.298	-0.140	0.001
7.348	-0.140	0.000
7.399	-0.140	0.000
7.450	-0.150	0.001
7.501	-0.150	0.000
7.547	-0.150	0.000
7.597	-0.150	0.001
7.648	-0.150	0.000
7.699	-0.150	0.000
7.748	-0.160	0.000
7.799	-0.160	-0.001
7.851	-0.160	-0.002
7.897	-0.160	-0.003
7.947	-0.160	-0.004
7.998	-0.160	-0.005
8.048	-0.170	-0.005
8.107	-0.170	-0.006
8.148	-0.170	-0.006
8.201	-0.170	-0.007
8.251	-0.170	-0.008
8.301	-0.170	-0.008
8.347	-0.180	-0.008
8.397	-0.180	-0.009
8.448	-0.180	-0.009
8.499	-0.180	-0.009
8.550	-0.180	-0.010
8.601	-0.180	-0.010
8.651	-0.190	-0.011
8.706	-0.190	-0.011
8.756	-0.190	-0.012
8.804	-0.190	-0.012
8.848	-0.190	-0.012
8.899	-0.190	-0.013
8.951	-0.200	-0.013
9.001	-0.200	-0.013
9.056	-0.200	-0.013
9.106	-0.200	-0.014
9.148	-0.200	-0.015
9.198	-0.200	-0.015
9.249	-0.210	-0.015
9.301	-0.210	-0.016
9.347	-0.210	-0.016
9.397	-0.210	-0.017
9.451	-0.210	-0.017
9.497	-0.210	-0.017
9.551	-0.220	-0.018
9.597	-0.220	-0.018
9.649	-0.220	-0.018
9.699	-0.220	-0.019
9.749	-0.220	-0.019
9.800	-0.220	-0.020
9.849	-0.230	-0.020
9.908	-0.230	-0.021
9.949	-0.230	-0.021
10.001	-0.230	-0.022
10.047	-0.230	-0.022
10.101	-0.230	-0.023
10.155	-0.240	-0.023
10.201	-0.240	-0.023
10.248	-0.240	-0.024
10.297	-0.240	-0.024
10.348	-0.240	-0.024
10.399	-0.240	-0.025
10.449	-0.250	-0.026
10.499	-0.250	-0.026
10.549	-0.250	-0.027
10.600	-0.250	-0.027
10.649	-0.250	-0.027
10.701	-0.250	-0.027
10.747	-0.260	-0.027
10.801	-0.260	-0.028
10.847	-0.260	-0.028
10.901	-0.260	-0.028
10.947	-0.260	-0.028
10.997	-0.260	-0.028
11.047	-0.270	-0.028
11.099	-0.270	-0.029
11.150	-0.270	-0.029
11.199	-0.270	-0.029
11.257	-0.270	-0.029
11.299	-0.270	-0.029
11.349	-0.280	-0.029
11.399	-0.280	-0.029
11.451	-0.280	-0.029
11.506	-0.280	-0.030
11.551	-0.280	-0.030
11.597	-0.280	-0.030
11.647	-0.290	-0.030
11.701	-0.290	-0.031
11.756	-0.290	-0.031
11.799	-0.290	-0.032
11.849	-0.290	-0.032
11.898	-0.290	-0.032
11.949	-0.300	-0.033
11.999	-0.300	-0.034
12.049	-0.300	-0.034
12.099	-0.300	-0.035
12.150	-0.300	-0.035
12.197	-0.300	-0.036
12.251	-0.310	-0.036
12.305	-0.310	-0.037
12.351	-0.310	-0.038
12.397	-0.310	-0.038
12.451	-0.310	-0.038
12.497	-0.310	-0.039
12.549	-0.320	-0.039
12.607	-0.320	-0.040
12.649	-0.320	-0.040
12.698	-0.320	-0.041
12.749	-0.320	-0.041
12.798	-0.320	-0.042
12.852	-0.330	-0.043
12.901	-0.330	-0.043
12.955	-0.330	-0.044
13.001	-0.330	-0.044
13.047	-0.330	-0.045
13.101	-0.330	-0.045
13.151	-0.340	-0.045
13.201	-0.340	-0.046
13.248	-0.340	-0.046
13.299	-0.340	-0.047
13.348	-0.340	-0.048
13.399	-0.340	-0.048
13.448	-0.350	-0.049
13.507	-0.350	-0.050
13.549	-0.350	-0.050
13.600	-0.350	-0.050
13.651	-0.350	-0.051
13.700	-0.350	-0.052
13.751	-0.360	-0.052
13.800	-0.360	-0.053
13.851	-0.360	-0.053
13.901	-0.360	-0.054
13.955	-0.360	-0.054
13.998	-0.360	-0.056
14.047	-0.370	-0.056
14.100	-0.370	-0.057
14.147	-0.370	-0.057
14.198	-0.370	-0.058
14.247	-0.370	-0.058
14.298	-0.370	-0.059
14.349	-0.380	-0.059
14.407	-0.380	-0.060
14.449	-0.380	-0.061
14.499	-0.380	-0.062
14.549	-0.380	-0.062
14.599	-0.380	-0.063
14.649	-0.390	-0.064
14.701	-0.390	-0.065
14.747	-0.390	-0.066
14.801	-0.390	-0.066
14.851	-0.390	-0.067
14.901	-0.390	-0.067
14.951	-0.400	-0.068
14.997	-0.400	-0.068
15.049	-0.400	-0.069
15.099	-0.400	-0.070
15.149	-0.400	-0.071
15.200	-0.400	-0.072
15.250	-0.410	-0.074
15.308	-0.410	-0.075
15.350	-0.410	-0.076
15.405	-0.410	-0.077
15.447	-0.410	-0.078
15.501	-0.410	-0.079
15.551	-0.420	-0.080
15.601	-0.420	-0.082
15.655	-0.420	-0.083
15.701	-0.420	-0.084
15.747	-0.420	-0.086
15.798	-0.420	-0.087
15.847	-0.430	-0.089
15.897	-0.430	-0.090
15.947	-0.430	-0.092
15.997	-0.430	-0.093
16.051	-0.430	-0.094
16.097	-0.430	-0.095
16.148	-0.440	-0.096
16.206	-0.440	-0.098
16.248	-0.440	-0.099
16.297	-0.440	-0.101
16.348	-0.440	-0.103
16.398	-0.440	-0.106
16.451	-0.450	-0.108
16.507	-0.450	-0.110
16.551	-0.450	-0.112
16.601	-0.450	-0.114
16.657	-0.450	-0.115
16.699	-0.450	-0.117
16.751	-0.460	-0.119
16.807	-0.460	-0.120
16.851	-0.460	-0.123
16.907	-0.460	-0.125
16.949	-0.460	-0.127
17.001	-0.460	-0.130
17.056	-0.470	-0.132
17.107	-0.470	-0.135
17.151	-0.470	-0.137
17.199	-0.470	-0.139
17.251	-0.470	-0.140
17.301	-0.470	-0.142
17.357	-0.480	-0.144
17.399	-0.480	-0.146
17.456	-0.480	-0.148
17.507	-0.480	-0.151
17.551	-0.480	-0.154
17.607	-0.480	-0.157
17.649	-0.490	-0.159
17.701	-0.490	-0.162
17.756	-0.490	-0.164
17.799	-0.490	-0.166
17.850	-0.490	-0.168
17.906	-0.490	-0.170
17.950	-0.500	-0.172
18.009	-0.500	-0.174
18.057	-0.500	-0.176
18.099	-0.500	-0.179
18.151	-0.500	-0.182
18.206	-0.500	-0.185
18.249	-0.510	-0.188
18.306	-0.510	-0.190
18.349	-0.510	-0.193
18.400	-0.510	-0.195
18.460	-0.510	-0.197
18.498	-0.510	-0.198
18.549	-0.520	-0.200
18.601	-0.520	-0.203
18.649	-0.520	-0.205
18.701	-0.520	-0.208
18.755	-0.520	-0.210
18.799	-0.520	-0.214
18.851	-0.530	-0.217
18.910	-0.530	-0.219
18.948	-0.530	-0.222
19.001	-0.530	-0.224
19.057	-0.530	-0.226
19.099	-0.530	-0.228
19.151	-0.540	-0.230
19.206	-0.540	-0.232
19.249	-0.540	-0.235
19.301	-0.540	-0.238
19.357	-0.540	-0.240
19.400	-0.540	-0.244
19.451	-0.550	-0.247
19.507	-0.550	-0.250
19.549	-0.550	-0.252
19.601	-0.550	-0.255
19.655	-0.550	-0.256
19.699	-0.550	-0.259
19.756	-0.560	-0.261
19.807	-0.560	-0.263
19.849	-0.560	-0.266
19.901	-0.560	-0.270
19.956	-0.560	-0.274
19.999	-0.560	-0.277
20.051	-0.570	-0.281
20.098	-0.570	-0.284
20.151	-0.570	-0.287
20.201	-0.570	-0.290
20.256	-0.570	-0.292
20.299	-0.570	-0.294
20.350	-0.580	-0.297
20.406	-0.580	-0.300
20.451	-0.580	-0.304
20.507	-0.580	-0.308
20.558	-0.580	-0.311
20.601	-0.580	-0.315
20.652	-0.590	-0.319
20.707	-0.590	-0.323
20.750	-0.590	-0.326
20.807	-0.590	-0.329
20.850	-0.590	-0.331
20.901	-0.590	-0.334
20.957	-0.600	-0.337
21.000	-0.600	-0.340
21.052	-0.600	-0.344
21.106	-0.600	-0.347
21.151	-0.600	-0.352
21.207	-0.600	-0.356
21.257	-0.610	-0.360
21.300	-0.610	-0.363
21.352	-0.610	-0.366
21.408	-0.610	-0.370
21.450	-0.610	-0.372
21.502	-0.610	-0.375
21.550	-0.620	-0.378
21.609	-0.620	-0.382
21.652	-0.620	-0.385
21.708	-0.620	-0.389
21.751	-0.620	-0.393
21.802	-0.620	-0.397
21.857	-0.630	-0.401
21.901	-0.630	-0.405
21.957	-0.630	-0.408
22.000	-0.630	-0.412
22.059	-0.630	-0.414
22.102	-0.630	-0.417
22.157	-0.640	-0.420
22.200	-0.640	-0.424
22.257	-0.640	-0.428
22.300	-0.640	-0.432
22.351	-0.640	-0.436
22.407	-0.640	-0.441
22.450	-0.650	-0.445
22.509	-0.650	-0.449
22.552	-0.650	-0.453
22.600	-0.650	-0.456
22.652	-0.650	-0.459
22.706	-0.650	-0.462
22.750	-0.660	-0.465
22.801	-0.660	-0.469
22.857	-0.660	-0.473
22.900	-0.660	-0.478
22.952	-0.660	-0.482
23.000	-0.660	-0.487
23.050	-0.670	-0.492
23.102	-0.670	-0.496
23.158	-0.670	-0.500
23.201	-0.670	-0.503
23.252	-0.670	-0.506
23.308	-0.670	-0.509
23.352	-0.680	-0.512
23.400	-0.680	-0.516
23.450	-0.680	-0.520
23.502	-0.680	-0.525
23.558	-0.680	-0.530
23.599	-0.680	-0.536
23.652	-0.690	-0.540
23.700	-0.690	-0.545
23.757	-0.690	-0.549
23.808	-0.690	-0.552
23.859	-0.690	-0.555
23.902	-0.690	-0.559
23.957	-0.700	-0.562
24.001	-0.700	-0.566
24.058	-0.700	-0.571
24.103	-0.700	-0.575
24.152	-0.700	-0.580
24.199	-0.700	-0.586
24.251	-0.710	-0.591
24.311	-0.710	-0.596
24.348	-0.710	-0.601
24.406	-0.710	-0.605
24.449	-0.710	-0.608
24.501	-0.710	-0.612
24.557	-0.720	-0.616
24.608	-0.720	-0.620
24.652	-0.720	-0.624
24.706	-0.720	-0.629
24.751	-0.720	-0.635
24.807	-0.720	-0.641
24.858	-0.730	-0.647
24.902	-0.730	-0.652
24.956	-0.730	-0.657
24.999	-0.730	-0.661
25.051	-0.730	-0.665
25.108	-0.730	-0.669
25.152	-0.740	-0.673
25.211	-0.740	-0.677
25.248	-0.740	-0.682
25.302	-0.740	-0.687
25.357	-0.740	-0.693
25.398	-0.740	-0.699
25.452	-0.750	-0.705
25.499	-0.750	-0.711
25.556	-0.750	-0.716
25.608	-0.750	-0.721
25.659	-0.750	-0.725
25.702	-0.750	-0.729
25.757	-0.760	-0.734
25.800	-0.760	-0.738
25.857	-0.760	-0.743
25.901	-0.760	-0.748
25.952	-0.760	-0.754
26.008	-0.760	-0.760
26.051	-0.770	-0.767
