Time(s)	Extension(mm)	Load(N)
0.000	0.000	-0.000
0.025	0.000	-0.001
0.072	0.000	-0.000
0.122	0.000	-0.001
0.172	0.000	-0.001
0.226	0.000	-0.001
0.274	0.000	-0.001
0.326	0.000	-0.000
0.376	0.000	-0.001
0.422	0.000	-0.001
0.472	0.000	-0.000
0.522	0.000	-0.001
0.576	0.000	-0.001
0.626	0.000	-0.001
0.672	0.000	-0.000
0.726	0.000	-0.001
0.772	0.000	-0.000
0.822	0.000	-0.000
0.873	0.000	-0.001
0.923	0.000	-0.001
0.972	0.000	-0.001
1.022	0.000	-0.001
1.072	0.000	-0.000
1.123	0.000	-0.001
1.173	0.000	-0.001
1.223	0.000	-0.000
1.273	0.000	-0.001
1.322	0.000	-0.001
1.372	0.000	-0.000
1.423	0.000	-0.001
1.474	0.000	-0.001
1.524	0.000	-0.001
1.574	0.000	-0.000
1.624	0.000	-0.000
1.672	0.000	-0.000
1.722	0.000	-0.001
1.773	0.000	-0.001
1.822	0.000	-0.001
1.874	0.000	-0.000
1.926	0.000	-0.001
1.974	0.000	-0.001
2.024	0.000	-0.001
2.072	0.000	-0.001
2.123	0.000	-0.000
2.173	0.000	-0.001
2.225	0.000	-0.001
2.275	0.000	-0.001
2.326	0.000	-0.001
2.374	0.000	-0.000
2.423	0.000	-0.001
2.474	0.000	-0.000
2.524	0.000	-0.001
2.576	0.000	-0.000
2.626	0.000	-0.001
2.677	0.000	-0.001
2.727	0.000	-0.001
2.775	0.000	-0.001
2.826	0.000	-0.001
2.875	0.000	-0.001
2.922	0.000	-0.001
2.972	0.000	-0.001
3.022	0.000	-0.000
3.072	0.000	-0.001
3.126	0.000	-0.000
3.176	0.000	-0.001
3.226	0.000	-0.001
3.272	0.000	-0.000
3.322	0.000	-0.001
3.373	0.000	-0.001
3.422	0.000	-0.001
3.476	0.000	-0.001
3.526	0.000	-0.001
3.577	0.000	-0.001
3.627	0.000	-0.001
3.673	0.000	-0.001
3.723	0.000	-0.001
3.773	0.000	-0.001
3.822	0.000	-0.000
3.871	0.000	-0.000
3.922	0.000	-0.001
3.971	0.000	-0.000
4.024	0.000	-0.001
4.074	0.000	-0.001
4.124	0.000	-0.000
4.172	0.000	-0.001
4.222	0.000	-0.001
4.272	0.000	-0.001
4.322	0.000	-0.001
4.374	0.000	-0.001
4.423	0.000	-0.001
4.475	0.000	-0.001
4.525	0.000	-0.001
4.573	0.000	-0.001
4.624	0.000	-0.001
4.673	0.000	-0.001
4.726	0.000	-0.001
4.774	0.000	-0.001
4.826	0.000	-0.000
4.876	0.000	-0.001
4.924	0.000	-0.001
4.974	0.000	-0.001
5.024	0.000	-0.001
5.077	0.000	-0.001
5.127	0.000	-0.001
5.172	0.000	-0.001
5.226	0.000	-0.000
5.274	0.000	-0.001
5.324	0.000	-0.000
5.374	0.000	-0.001
5.424	0.000	-0.001
5.472	0.000	-0.001
5.533	-0.000	-0.000
5.592	-0.000	-0.001
5.642	-0.010	-0.001
5.694	-0.010	-0.001
5.742	-0.010	-0.000
5.792	-0.020	0.000
5.840	-0.020	-0.001
5.892	-0.020	0.000
5.942	-0.030	0.000
5.992	-0.030	-0.000
6.042	-0.030	-0.000
6.100	-0.040	-0.001
6.142	-0.040	-0.000
6.192	-0.040	-0.001
6.242	-0.050	-0.001
6.292	-0.050	-0.000
6.344	-0.050	-0.000
6.394	-0.050	-0.000
6.450	-0.060	-0.000
6.492	-0.060	0.000
6.534	-0.060	-0.001
6.594	-0.070	-0.001
6.642	-0.070	-0.001
6.692	-0.070	-0.001
6.742	-0.080	0.000
6.794	-0.080	-0.001
6.841	-0.080	0.000
6.892	-0.090	-0.000
6.943	-0.090	-0.000
6.993	-0.090	-0.001
7.044	-0.100	-0.001
