Time(s)	Extension(mm)	Load(N)
0.001	0.000	-0.000
0.021	0.000	-0.000
0.041	0.000	-0.001
0.075	0.000	-0.000
0.125	0.000	-0.000
0.175	0.000	-0.000
0.226	0.000	-0.000
0.275	0.000	-0.001
0.327	0.000	-0.000
0.376	0.000	-0.000
0.425	0.000	-0.001
0.475	0.000	-0.000
0.525	0.000	-0.000
0.577	0.000	-0.000
0.628	0.000	-0.000
0.677	0.000	-0.000
0.727	0.000	-0.000
0.775	0.000	-0.001
0.825	0.000	-0.001
0.876	0.000	-0.001
0.926	0.000	-0.000
0.977	0.000	-0.000
1.028	0.000	-0.000
1.078	0.000	-0.001
1.126	0.000	-0.000
1.175	0.000	-0.000
1.226	0.000	-0.001
1.276	0.000	-0.000
1.328	0.000	-0.000
1.378	0.000	-0.000
1.429	0.000	-0.001
1.486	-0.000	-0.000
1.545	-0.000	-0.001
1.597	-0.010	-0.000
1.653	-0.010	-0.000
1.703	-0.010	-0.001
1.745	-0.020	-0.000
1.797	-0.020	-0.000
1.845	-0.020	-0.001
1.895	-0.030	0.000
1.945	-0.030	0.000
1.987	-0.030	0.000
2.035	-0.040	-0.001
2.097	-0.040	-0.000
2.153	-0.040	-0.001
2.195	-0.040	-0.000
2.245	-0.050	0.000
2.293	-0.050	0.000
2.345	-0.050	-0.001
2.404	-0.060	-0.001
2.447	-0.060	0.000
2.487	-0.060	-0.001
2.547	-0.070	-0.000
2.597	-0.070	-0.000
2.648	-0.070	0.000
2.691	-0.080	-0.001
2.752	-0.080	-0.001
2.798	-0.080	-0.001
2.845	-0.090	-0.000
2.896	-0.090	-0.000
2.946	-0.090	0.000
2.997	-0.090	-0.001
3.045	-0.100	-0.001
3.096	-0.100	-0.001
3.146	-0.100	-0.001
3.197	-0.110	-0.001
3.247	-0.110	0.000
3.298	-0.110	-0.001
3.344	-0.120	-0.001
3.396	-0.120	-0.000
3.447	-0.120	-0.000
3.496	-0.130	0.000
3.544	-0.130	0.000
3.583	-0.130	-0.000
3.645	-0.140	-0.001
3.695	-0.140	-0.000
3.746	-0.140	-0.001
3.798	-0.140	0.000
3.844	-0.150	-0.001
3.895	-0.150	0.000
3.943	-0.150	-0.001
3.995	-0.160	-0.001
4.045	-0.160	-0.001
4.095	-0.160	-0.001
4.148	-0.170	0.000
4.194	-0.170	0.000
4.236	-0.170	-0.001
4.298	-0.180	-0.001
4.352	-0.180	-0.001
4.398	-0.180	-0.001
4.444	-0.190	0.000
4.495	-0.190	0.000
4.544	-0.190	-0.000
4.594	-0.190	-0.001
4.645	-0.200	-0.001
4.697	-0.200	-0.001
4.747	-0.200	0.000
4.795	-0.210	-0.000
4.846	-0.210	0.000
4.897	-0.210	-0.001
4.946	-0.220	-0.001
4.997	-0.220	-0.002
5.046	-0.220	-0.002
5.105	-0.230	-0.003
5.146	-0.230	-0.003
5.198	-0.230	-0.004
5.244	-0.240	-0.005
5.298	-0.240	-0.006
5.344	-0.240	-0.007
5.397	-0.240	-0.008
5.444	-0.250	-0.009
5.494	-0.250	-0.009
5.546	-0.250	-0.010
5.596	-0.260	-0.011
5.645	-0.260	-0.013
5.697	-0.260	-0.013
5.746	-0.270	-0.014
5.798	-0.270	-0.015
5.847	-0.270	-0.016
5.898	-0.280	-0.016
5.945	-0.280	-0.017
6.003	-0.280	-0.018
6.045	-0.290	-0.019
6.095	-0.290	-0.019
6.145	-0.290	-0.020
6.195	-0.290	-0.020
6.245	-0.300	-0.021
6.298	-0.300	-0.022
6.353	-0.300	-0.023
6.398	-0.310	-0.023
6.448	-0.310	-0.024
6.502	-0.310	-0.024
6.548	-0.320	-0.025
6.594	-0.320	-0.026
6.645	-0.320	-0.027
6.696	-0.330	-0.027
6.745	-0.330	-0.028
6.797	-0.330	-0.029
6.847	-0.340	-0.029
6.905	-0.340	-0.030
6.948	-0.340	-0.031
6.994	-0.340	-0.032
7.045	-0.350	-0.032
7.094	-0.350	-0.033
7.147	-0.350	-0.033
7.195	-0.360	-0.034
7.246	-0.360	-0.035
7.295	-0.360	-0.036
7.347	-0.370	-0.037
7.398	-0.370	-0.038
7.447	-0.370	-0.039
7.498	-0.380	-0.040
7.547	-0.380	-0.042
7.598	-0.380	-0.043
7.648	-0.390	-0.045
7.693	-0.390	-0.046
7.746	-0.390	-0.047
7.803	-0.390	-0.049
7.845	-0.400	-0.051
7.895	-0.400	-0.053
7.946	-0.400	-0.054
7.995	-0.410	-0.056
8.046	-0.410	-0.057
8.097	-0.410	-0.058
8.147	-0.420	-0.060
8.197	-0.420	-0.061
8.255	-0.420	-0.063
8.296	-0.430	-0.064
8.345	-0.430	-0.065
8.396	-0.430	-0.066
8.448	-0.440	-0.067
8.498	-0.440	-0.068
8.547	-0.440	-0.070
8.597	-0.440	-0.071
8.647	-0.450	-0.072
8.705	-0.450	-0.072
8.748	-0.450	-0.073
8.794	-0.460	-0.075
8.845	-0.460	-0.076
8.893	-0.460	-0.077
8.944	-0.470	-0.078
8.998	-0.470	-0.078
9.044	-0.470	-0.079
9.094	-0.480	-0.081
9.145	-0.480	-0.082
9.196	-0.480	-0.083
9.245	-0.490	-0.085
9.295	-0.490	-0.085
9.345	-0.490	-0.086
9.395	-0.490	-0.087
9.445	-0.500	-0.089
9.495	-0.500	-0.090
9.547	-0.500	-0.091
9.604	-0.510	-0.092
9.645	-0.510	-0.092
9.695	-0.510	-0.094
9.746	-0.520	-0.095
9.795	-0.520	-0.097
9.845	-0.520	-0.098
9.897	-0.530	-0.099
9.947	-0.530	-0.100
9.997	-0.530	-0.101
10.055	-0.540	-0.103
10.103	-0.540	-0.104
10.154	-0.540	-0.106
10.197	-0.540	-0.108
10.253	-0.550	-0.109
10.297	-0.550	-0.111
10.348	-0.550	-0.113
10.395	-0.560	-0.115
10.447	-0.560	-0.117
10.508	-0.560	-0.120
10.546	-0.570	-0.121
10.603	-0.570	-0.122
10.647	-0.570	-0.125
10.698	-0.580	-0.127
10.753	-0.580	-0.129
10.804	-0.580	-0.132
10.849	-0.590	-0.134
10.899	-0.590	-0.136
10.947	-0.590	-0.138
11.004	-0.590	-0.140
11.054	-0.600	-0.143
11.098	-0.600	-0.145
11.148	-0.600	-0.148
11.205	-0.610	-0.149
11.247	-0.610	-0.151
11.304	-0.610	-0.154
11.348	-0.620	-0.156
11.407	-0.620	-0.159
11.454	-0.620	-0.162
11.496	-0.630	-0.163
11.549	-0.630	-0.165
11.604	-0.630	-0.168
11.647	-0.640	-0.170
11.704	-0.640	-0.173
11.747	-0.640	-0.175
11.798	-0.640	-0.177
11.858	-0.650	-0.178
11.896	-0.650	-0.181
11.947	-0.650	-0.183
12.003	-0.660	-0.186
12.048	-0.660	-0.189
12.104	-0.660	-0.191
12.155	-0.670	-0.192
12.198	-0.670	-0.195
12.249	-0.670	-0.197
12.304	-0.680	-0.200
12.347	-0.680	-0.202
12.404	-0.680	-0.205
12.448	-0.690	-0.207
12.498	-0.690	-0.208
12.555	-0.690	-0.211
12.597	-0.690	-0.213
12.654	-0.700	-0.215
12.696	-0.700	-0.218
12.749	-0.700	-0.221
12.796	-0.710	-0.223
12.847	-0.710	-0.225
12.903	-0.710	-0.227
12.954	-0.720	-0.230
12.998	-0.720	-0.232
13.049	-0.720	-0.235
13.096	-0.730	-0.237
13.154	-0.730	-0.239
13.204	-0.730	-0.240
13.248	-0.740	-0.243
13.299	-0.740	-0.246
13.346	-0.740	-0.249
13.398	-0.740	-0.251
13.454	-0.750	-0.253
13.498	-0.750	-0.255
13.555	-0.750	-0.258
13.596	-0.760	-0.260
13.657	-0.760	-0.263
13.704	-0.760	-0.266
13.746	-0.770	-0.268
13.798	-0.770	-0.270
13.847	-0.770	-0.272
13.898	-0.780	-0.275
13.954	-0.780	-0.278
13.997	-0.780	-0.281
14.048	-0.790	-0.283
14.109	-0.790	-0.285
14.147	-0.790	-0.287
14.204	-0.790	-0.290
14.247	-0.800	-0.293
14.299	-0.800	-0.296
14.354	-0.800	-0.298
14.396	-0.810	-0.300
14.449	-0.810	-0.302
14.504	-0.810	-0.305
14.548	-0.820	-0.308
14.605	-0.820	-0.310
14.646	-0.820	-0.313
14.699	-0.830	-0.315
14.753	-0.830	-0.318
14.796	-0.830	-0.320
14.848	-0.840	-0.323
14.904	-0.840	-0.325
14.948	-0.840	-0.328
15.007	-0.840	-0.331
15.054	-0.850	-0.333
15.096	-0.850	-0.335
15.150	-0.850	-0.338
15.199	-0.860	-0.340
15.246	-0.860	-0.343
15.299	-0.860	-0.346
15.355	-0.870	-0.348
15.396	-0.870	-0.350
15.456	-0.870	-0.352
15.503	-0.880	-0.355
15.554	-0.880	-0.358
15.597	-0.880	-0.361
15.654	-0.890	-0.363
15.696	-0.890	-0.365
15.747	-0.890	-0.368
15.803	-0.890	-0.370
15.854	-0.900	-0.373
15.905	-0.900	-0.376
15.949	-0.900	-0.379
15.997	-0.910	-0.381
16.049	-0.910	-0.383
16.098	-0.910	-0.386
16.155	-0.920	-0.388
16.196	-0.920	-0.391
16.249	-0.920	-0.394
16.304	-0.930	-0.396
16.347	-0.930	-0.399
16.403	-0.930	-0.401
16.454	-0.940	-0.404
16.497	-0.940	-0.407
16.548	-0.940	-0.410
16.604	-0.940	-0.412
16.655	-0.950	-0.414
16.698	-0.950	-0.417
16.746	-0.950	-0.420
16.805	-0.960	-0.422
16.849	-0.960	-0.425
16.903	-0.960	-0.428
16.946	-0.970	-0.431
16.997	-0.970	-0.433
17.049	-0.970	-0.436
17.096	-0.980	-0.438
17.153	-0.980	-0.441
17.204	-0.980	-0.445
17.255	-0.990	-0.447
17.298	-0.990	-0.449
17.349	-0.990	-0.452
17.405	-0.990	-0.455
17.448	-1.000	-0.458
17.505	-1.000	-0.461
17.547	-1.000	-0.464
17.599	-1.010	-0.466
17.654	-1.010	-0.469
17.705	-1.010	-0.472
17.749	-1.020	-0.474
17.797	-1.020	-0.478
17.849	-1.020	-0.481
17.904	-1.030	-0.484
17.947	-1.030	-0.486
17.998	-1.030	-0.489
18.055	-1.040	-0.492
18.097	-1.040	-0.495
18.153	-1.040	-0.498
18.197	-1.040	-0.501
18.248	-1.050	-0.503
18.303	-1.050	-0.506
18.354	-1.050	-0.509
18.398	-1.060	-0.512
18.449	-1.060	-0.516
18.497	-1.060	-0.519
18.549	-1.070	-0.521
18.604	-1.070	-0.523
18.647	-1.070	-0.526
18.699	-1.080	-0.529
18.755	-1.080	-0.532
18.797	-1.080	-0.536
18.849	-1.090	-0.539
18.897	-1.090	-0.541
18.954	-1.090	-0.544
18.995	-1.090	-0.547
19.056	-1.100	-0.550
19.103	-1.100	-0.554
19.155	-1.100	-0.557
19.198	-1.110	-0.559
19.254	-1.110	-0.562
19.298	-1.110	-0.565
19.349	-1.120	-0.568
19.395	-1.120	-0.572
19.448	-1.120	-0.575
19.508	-1.130	-0.578
19.555	-1.130	-0.580
19.599	-1.130	-0.583
19.646	-1.140	-0.586
19.698	-1.140	-0.590
19.753	-1.140	-0.593
19.805	-1.140	-0.596
19.849	-1.150	-0.598
19.899	-1.150	-0.601
19.948	-1.150	-0.604
20.004	-1.160	-0.608
20.055	-1.160	-0.611
20.098	-1.160	-0.614
20.149	-1.170	-0.617
20.205	-1.170	-0.619
20.247	-1.170	-0.622
20.304	-1.180	-0.625
20.348	-1.180	-0.629
20.408	-1.180	-0.632
20.455	-1.190	-0.635
20.497	-1.190	-0.637
20.553	-1.190	-0.639
20.605	-1.190	-0.643
20.648	-1.200	-0.647
20.705	-1.200	-0.650
20.748	-1.200	-0.653
20.799	-1.210	-0.656
20.854	-1.210	-0.658
20.898	-1.210	-0.661
20.949	-1.220	-0.665
21.005	-1.220	-0.668
21.049	-1.220	-0.671
21.105	-1.230	-0.674
21.147	-1.230	-0.676
21.203	-1.230	-0.679
21.246	-1.240	-0.682
21.307	-1.240	-0.686
21.353	-1.240	-0.689
21.398	-1.240	-0.692
21.453	-1.250	-0.695
21.505	-1.250	-0.698
21.549	-1.250	-0.700
21.603	-1.260	-0.704
21.647	-1.260	-0.707
21.699	-1.260	-0.710
21.755	-1.270	-0.713
21.799	-1.270	-0.716
21.853	-1.270	-0.718
21.896	-1.280	-0.721
21.949	-1.280	-0.725
22.005	-1.280	-0.728
22.045	-1.290	-0.732
22.099	-1.290	-0.734
22.147	-1.290	-0.737
22.207	-1.290	-0.740
22.255	-1.300	-0.744
22.297	-1.300	-0.747
22.353	-1.300	-0.750
22.405	-1.310	-0.752
22.448	-1.310	-0.755
22.505	-1.310	-0.758
22.549	-1.320	-0.762
22.599	-1.320	-0.765
22.655	-1.320	-0.768
22.698	-1.330	-0.771
22.749	-1.330	-0.773
22.805	-1.330	-0.776
22.849	-1.340	-0.779
22.895	-1.340	-0.783
22.948	-1.340	-0.786
23.004	-1.340	-0.789
23.045	-1.350	-0.791
23.107	-1.350	-0.794
23.154	-1.350	-0.797
23.198	-1.360	-0.801
23.254	-1.360	-0.804
23.305	-1.360	-0.807
23.349	-1.370	-0.809
23.403	-1.370	-0.812
23.447	-1.370	-0.815
23.499	-1.380	-0.818
23.555	-1.380	-0.822
23.598	-1.380	-0.824
23.653	-1.390	-0.828
23.696	-1.390	-0.830
23.749	-1.390	-0.833
23.804	-1.390	-0.836
23.846	-1.400	-0.839
23.899	-1.400	-0.842
23.946	-1.400	-0.845
24.008	-1.410	-0.848
24.049	-1.410	-0.851
24.098	-1.410	-0.853
24.148	-1.420	-0.856
24.199	-1.420	-0.860
24.247	-1.420	-0.863
24.305	-1.430	-0.866
24.347	-1.430	-0.868
24.399	-1.430	-0.871
24.455	-1.440	-0.874
24.497	-1.440	-0.878
24.549	-1.440	-0.881
24.596	-1.440	-0.884
24.649	-1.450	-0.886
24.697	-1.450	-0.889
24.748	-1.450	-0.892
24.796	-1.460	-0.896
24.847	-1.460	-0.899
24.909	-1.460	-0.902
24.946	-1.470	-0.905
24.999	-1.470	-0.907
25.046	-1.470	-0.910
25.097	-1.480	-0.913
25.145	-1.480	-0.917
25.197	-1.480	-0.920
25.249	-1.490	-0.923
25.296	-1.490	-0.925
25.349	-1.490	-0.928
25.396	-1.490	-0.931
25.447	-1.500	-0.935
