""
"Test Method","Prosthetic Ankle Compression.msm"
"Sample I. D.","Prosthetic Ankle 1-9-18.mss"
"Specimen Number","3"

"Time (s)","Load (N)","Crosshead (mm)"

0.300,3,0.06
0.400,4,0.11
0.500,6,0.16
0.600,8,0.21
0.700,15,0.26
0.800,27,0.31
0.900,44,0.36
1.000,63,0.41
1.100,82,0.46
1.200,102,0.51
1.300,123,0.56
1.400,145,0.61
1.500,166,0.66
1.600,188,0.71
1.700,210,0.76
1.800,233,0.81
1.900,255,0.86
2.000,278,0.91
2.100,300,0.96
2.200,323,1.01
2.300,345,1.06
2.400,368,1.11
2.500,391,1.16
2.600,414,1.21
2.700,437,1.26
2.800,459,1.31
2.900,482,1.36
3.000,504,1.41
3.100,527,1.46
3.200,550,1.51
3.300,574,1.56
3.400,597,1.61
3.500,619,1.66
3.600,642,1.71
3.700,665,1.76
3.800,688,1.81
3.900,711,1.86
4.000,734,1.91
4.100,756,1.96
4.200,780,2.01
4.300,802,2.06
4.400,825,2.11
4.500,848,2.16
4.600,871,2.21
4.700,893,2.26
4.800,917,2.31
4.900,940,2.36
5.000,963,2.41
5.100,986,2.46
5.200,1009,2.51
5.300,1031,2.56
5.400,1054,2.61
5.500,1077,2.66
5.600,1100,2.71
5.700,1123,2.76
5.800,1146,2.81
5.900,1169,2.86
6.000,1191,2.91
6.100,1214,2.96
6.190,1234,3.00
6.400,1233,2.96
6.500,1209,2.91
6.600,1185,2.86
6.700,1161,2.81
6.800,1137,2.76
6.900,1113,2.71
7.000,1090,2.66
7.100,1066,2.61
7.200,1043,2.56
7.300,1018,2.51
7.400,995,2.46
7.500,971,2.41
7.600,948,2.36
7.700,925,2.31
7.800,901,2.26
7.900,878,2.21
8.000,855,2.16
8.100,832,2.11
8.200,809,2.06
8.300,786,2.01
8.400,762,1.96
8.500,740,1.91
8.600,717,1.87
8.700,694,1.81
8.800,671,1.76
8.900,648,1.71
9.000,625,1.67
9.100,602,1.61
9.200,580,1.56
9.300,556,1.51
9.400,533,1.47
9.500,511,1.42
9.600,488,1.36
9.700,465,1.32
9.800,443,1.27
9.900,420,1.22
10.000,398,1.16
10.100,375,1.11
10.200,353,1.07
10.300,331,1.02
10.400,308,0.97
10.500,286,0.92
10.600,264,0.86
10.700,242,0.82
10.800,221,0.77
10.900,198,0.72
11.000,177,0.67
11.100,156,0.62
11.200,134,0.57
11.300,114,0.52
11.400,93,0.47
11.500,74,0.42
11.600,55,0.37
11.700,36,0.32
11.800,21,0.27
11.900,11,0.22
12.000,9,0.17
12.100,6,0.12
12.200,5,0.07
12.300,5,0.02
12.340,5,0.00


