Time(s)	Extension(mm)	Load(N)
0.001	0.000	0.000
0.020	0.000	0.000
0.037	0.000	0.000
0.075	0.000	0.000
0.125	0.000	0.000
0.174	0.000	0.000
0.226	0.000	-0.000
0.280	0.000	0.000
0.323	0.000	0.000
0.374	0.000	0.000
0.423	0.000	0.000
0.473	0.000	0.000
0.526	0.000	0.000
0.575	0.000	0.000
0.623	0.000	0.000
0.673	0.000	0.000
0.722	0.000	0.000
0.773	0.000	-0.000
0.825	0.000	0.000
0.875	0.000	0.000
0.923	0.000	0.000
0.975	0.000	0.000
1.025	0.000	0.000
1.074	0.000	0.000
1.125	0.000	-0.000
1.177	0.000	0.000
1.223	0.000	-0.000
1.277	0.000	0.000
1.325	0.000	0.000
1.375	0.000	0.000
1.425	0.000	0.000
1.475	0.000	0.000
1.533	-0.000	0.000
1.583	-0.000	0.000
1.642	-0.010	0.000
1.693	-0.010	0.000
1.737	-0.010	0.000
1.784	-0.010	0.000
1.835	-0.020	-0.000
1.897	-0.020	0.000
1.943	-0.020	0.000
1.987	-0.020	-0.000
2.046	-0.030	0.000
2.095	-0.030	0.000
2.133	-0.030	0.000
2.193	-0.030	0.000
2.237	-0.040	0.000
2.283	-0.040	-0.000
2.345	-0.040	0.000
2.394	-0.040	0.000
2.436	-0.050	0.000
2.483	-0.050	0.000
2.537	-0.050	0.000
2.587	-0.050	-0.000
2.653	-0.060	-0.000
2.695	-0.060	0.000
2.743	-0.060	0.000
2.785	-0.060	0.000
2.842	-0.070	0.000
2.884	-0.070	0.000
2.934	-0.070	-0.000
2.996	-0.070	0.000
3.037	-0.080	0.000
3.096	-0.080	0.000
3.133	-0.080	0.000
3.187	-0.080	0.000
3.243	-0.090	0.000
3.293	-0.090	-0.000
3.345	-0.090	0.000
3.395	-0.090	0.000
3.443	-0.100	0.000
3.493	-0.100	0.000
3.536	-0.100	-0.000
3.598	-0.100	-0.000
3.647	-0.110	0.000
3.687	-0.110	0.000
3.735	-0.110	0.000
3.787	-0.110	0.000
3.837	-0.120	0.000
3.892	-0.120	0.000
3.936	-0.120	-0.000
4.004	-0.120	0.000
4.044	-0.130	-0.000
4.098	-0.130	-0.000
4.153	-0.130	-0.001
4.195	-0.130	-0.002
4.246	-0.140	-0.002
4.302	-0.140	-0.002
4.346	-0.140	-0.002
4.396	-0.140	-0.003
4.455	-0.150	-0.003
4.498	-0.150	-0.003
4.548	-0.150	-0.003
4.595	-0.150	-0.004
4.648	-0.160	-0.004
4.703	-0.160	-0.004
4.753	-0.160	-0.005
4.796	-0.160	-0.005
4.845	-0.170	-0.005
4.906	-0.170	-0.006
4.948	-0.170	-0.006
4.996	-0.170	-0.006
5.048	-0.180	-0.006
5.097	-0.180	-0.006
5.153	-0.180	-0.007
5.203	-0.180	-0.007
5.245	-0.190	-0.007
5.296	-0.190	-0.008
5.353	-0.190	-0.008
5.396	-0.190	-0.008
5.445	-0.200	-0.009
5.498	-0.200	-0.009
5.548	-0.200	-0.009
5.595	-0.200	-0.009
5.645	-0.210	-0.010
5.697	-0.210	-0.010
5.744	-0.210	-0.010
5.803	-0.210	-0.010
5.845	-0.220	-0.011
5.896	-0.220	-0.011
5.947	-0.220	-0.011
5.998	-0.220	-0.012
6.053	-0.230	-0.012
6.096	-0.230	-0.012
6.147	-0.230	-0.013
6.198	-0.230	-0.013
6.247	-0.240	-0.013
6.294	-0.240	-0.013
6.345	-0.240	-0.013
6.396	-0.240	-0.014
6.452	-0.250	-0.014
6.495	-0.250	-0.015
6.545	-0.250	-0.015
6.597	-0.250	-0.015
6.647	-0.260	-0.016
6.706	-0.260	-0.016
6.743	-0.260	-0.016
6.796	-0.260	-0.016
6.847	-0.270	-0.017
6.898	-0.270	-0.017
6.944	-0.270	-0.017
6.994	-0.270	-0.018
7.046	-0.280	-0.018
7.095	-0.280	-0.018
7.152	-0.280	-0.019
7.195	-0.280	-0.019
7.245	-0.290	-0.019
7.296	-0.290	-0.020
7.346	-0.290	-0.020
7.398	-0.290	-0.020
7.448	-0.300	-0.021
7.495	-0.300	-0.021
7.547	-0.300	-0.021
7.606	-0.300	-0.022
7.652	-0.310	-0.022
7.702	-0.310	-0.023
7.745	-0.310	-0.023
7.795	-0.310	-0.023
7.847	-0.320	-0.024
7.903	-0.320	-0.024
7.945	-0.320	-0.024
7.995	-0.320	-0.025
8.054	-0.330	-0.025
8.097	-0.330	-0.026
