Time(s)	Extension(mm)	Load(N)
0.001	0.000	0.000
0.019	0.000	0.000
0.060	0.000	0.000
0.110	0.000	0.000
0.160	0.000	0.000
0.212	0.000	0.000
0.261	0.000	0.000
0.310	0.000	0.000
0.360	0.000	0.000
0.410	0.000	0.000
0.464	0.000	0.000
0.514	0.000	0.000
0.563	0.000	0.000
0.618	-0.000	0.000
0.674	-0.000	0.000
0.731	-0.010	0.000
0.781	-0.010	0.000
0.825	-0.010	0.000
0.872	-0.010	0.000
0.925	-0.020	0.000
0.980	-0.020	0.000
1.024	-0.020	0.000
1.071	-0.020	0.000
1.132	-0.030	0.000
1.175	-0.030	0.000
1.221	-0.030	0.000
1.275	-0.030	0.000
1.330	-0.040	0.000
1.371	-0.040	0.000
1.429	-0.040	0.000
1.472	-0.040	0.000
1.522	-0.050	0.000
1.580	-0.050	0.000
1.622	-0.050	0.000
1.674	-0.050	0.000
1.730	-0.060	0.000
1.772	-0.060	0.000
1.825	-0.060	0.000
1.875	-0.060	0.000
1.930	-0.070	0.000
1.974	-0.070	0.000
2.034	-0.070	0.000
2.071	-0.070	0.000
2.125	-0.080	0.000
2.181	-0.080	0.000
2.220	-0.080	0.000
2.274	-0.080	0.000
2.331	-0.090	0.000
2.374	-0.090	0.000
2.425	-0.090	0.000
2.481	-0.090	0.000
2.524	-0.100	0.000
2.574	-0.100	0.000
2.630	-0.100	0.000
2.674	-0.100	0.000
2.730	-0.110	0.000
2.781	-0.110	0.000
2.823	-0.110	0.000
2.880	-0.110	0.000
2.930	-0.120	0.000
2.970	-0.120	0.000
3.025	-0.120	0.000
3.081	-0.120	0.000
3.121	-0.130	0.000
3.175	-0.130	0.000
3.231	-0.130	0.000
3.274	-0.130	0.000
3.324	-0.140	0.000
3.381	-0.140	0.000
3.422	-0.140	0.000
3.472	-0.140	0.000
3.525	-0.150	0.000
3.572	-0.150	0.000
3.625	-0.150	0.000
3.675	-0.150	0.000
3.731	-0.160	0.000
3.775	-0.160	0.000
3.833	-0.160	0.000
3.880	-0.160	0.000
3.924	-0.170	0.000
3.979	-0.170	0.000
4.030	-0.170	0.000
4.071	-0.170	0.000
4.125	-0.180	0.000
4.181	-0.180	0.000
