Time(s)	Extension(mm)	Load(N)
0.001	0.000	0.000
0.017	0.000	-0.000
0.037	0.000	0.000
0.075	0.000	0.000
0.127	0.000	0.000
0.178	0.000	-0.000
0.230	0.000	-0.000
0.278	0.000	-0.000
0.332	0.000	0.000
0.374	0.000	0.000
0.427	0.000	0.000
0.475	0.000	-0.000
0.528	0.000	-0.000
0.580	0.000	-0.000
0.628	0.000	-0.000
0.679	0.000	0.000
0.725	0.000	0.000
0.777	0.000	0.000
0.832	-0.000	-0.000
0.899	-0.000	0.000
0.948	-0.010	-0.000
0.998	-0.010	-0.000
1.055	-0.010	-0.000
1.099	-0.010	0.000
1.140	-0.020	0.000
1.196	-0.020	0.000
1.240	-0.020	0.000
1.295	-0.020	0.000
1.346	-0.030	-0.000
1.398	-0.030	-0.000
1.454	-0.030	-0.000
1.498	-0.030	-0.000
1.548	-0.040	0.000
1.598	-0.040	-0.000
1.646	-0.040	-0.000
1.705	-0.040	-0.000
1.748	-0.050	0.000
1.798	-0.050	0.000
1.846	-0.050	0.000
1.886	-0.050	-0.000
1.948	-0.060	0.000
1.998	-0.060	0.000
2.040	-0.060	-0.000
2.099	-0.060	-0.000
2.146	-0.070	0.000
2.196	-0.070	0.000
2.236	-0.070	0.000
2.290	-0.070	-0.000
2.346	-0.080	0.000
2.396	-0.080	0.000
2.446	-0.080	0.000
2.488	-0.080	-0.000
2.550	-0.090	0.000
2.598	-0.090	-0.000
2.650	-0.090	0.000
2.695	-0.090	-0.000
2.747	-0.100	-0.000
2.798	-0.100	-0.000
2.849	-0.100	-0.000
2.898	-0.100	0.000
2.947	-0.110	-0.000
2.998	-0.110	0.000
3.048	-0.110	-0.000
3.099	-0.110	-0.000
3.149	-0.120	0.000
3.199	-0.120	0.000
3.246	-0.120	0.000
3.287	-0.120	0.000
3.338	-0.130	0.000
3.390	-0.130	-0.000
3.447	-0.130	0.000
3.499	-0.130	0.000
3.546	-0.140	-0.000
3.599	-0.140	0.000
3.648	-0.140	0.000
3.689	-0.140	0.000
3.740	-0.150	-0.000
3.798	-0.150	-0.000
3.849	-0.150	0.000
3.897	-0.150	0.000
3.940	-0.160	0.000
3.996	-0.160	0.000
4.046	-0.160	0.000
4.088	-0.160	0.000
4.145	-0.170	0.000
4.187	-0.170	-0.000
4.247	-0.170	0.000
4.296	-0.170	0.000
4.340	-0.180	0.000
4.399	-0.180	-0.000
4.451	-0.180	0.000
4.496	-0.180	0.000
4.537	-0.190	0.000
4.588	-0.190	0.000
4.640	-0.190	0.000
4.696	-0.190	0.000
4.739	-0.200	0.000
4.790	-0.200	0.000
4.846	-0.200	0.000
4.888	-0.200	0.000
4.938	-0.210	0.000
4.991	-0.210	0.000
5.036	-0.210	0.000
5.089	-0.210	0.000
5.138	-0.220	-0.000
5.200	-0.220	-0.000
5.247	-0.220	0.000
5.299	-0.220	0.000
5.345	-0.230	0.000
5.388	-0.230	0.000
5.440	-0.230	-0.000
5.499	-0.230	0.000
5.548	-0.240	0.000
5.591	-0.240	-0.000
5.655	-0.240	0.000
5.699	-0.240	0.000
5.746	-0.250	0.000
5.787	-0.250	0.000
5.837	-0.250	-0.001
5.899	-0.250	-0.002
5.951	-0.260	-0.003
5.998	-0.260	-0.004
6.047	-0.260	-0.006
6.099	-0.260	-0.007
6.149	-0.270	-0.009
6.208	-0.270	-0.010
6.250	-0.270	-0.011
6.298	-0.270	-0.012
6.349	-0.280	-0.013
6.399	-0.280	-0.014
6.451	-0.280	-0.016
6.501	-0.280	-0.017
6.548	-0.290	-0.018
6.598	-0.290	-0.020
6.650	-0.290	-0.021
6.706	-0.290	-0.022
6.751	-0.300	-0.023
6.798	-0.300	-0.024
6.848	-0.300	-0.025
6.899	-0.300	-0.026
6.950	-0.310	-0.028
7.005	-0.310	-0.029
7.049	-0.310	-0.030
7.107	-0.310	-0.031
7.150	-0.320	-0.032
7.200	-0.320	-0.033
7.255	-0.320	-0.034
7.306	-0.320	-0.036
7.349	-0.330	-0.038
7.401	-0.330	-0.039
7.456	-0.330	-0.040
7.497	-0.330	-0.041
7.556	-0.340	-0.042
7.598	-0.340	-0.042
7.649	-0.340	-0.043
7.700	-0.340	-0.045
7.756	-0.350	-0.046
7.799	-0.350	-0.047
7.848	-0.350	-0.047
7.900	-0.350	-0.048
7.950	-0.360	-0.049
8.009	-0.360	-0.049
8.051	-0.360	-0.050
8.099	-0.360	-0.052
8.150	-0.370	-0.053
8.200	-0.370	-0.053
8.251	-0.370	-0.054
8.301	-0.370	-0.055
8.348	-0.380	-0.056
8.399	-0.380	-0.057
8.450	-0.380	-0.058
8.505	-0.380	-0.059
8.551	-0.390	-0.060
8.598	-0.390	-0.061
8.648	-0.390	-0.062
8.699	-0.390	-0.063
8.749	-0.400	-0.064
8.801	-0.400	-0.066
8.848	-0.400	-0.067
8.907	-0.400	-0.068
8.949	-0.410	-0.070
9.000	-0.410	-0.071
9.051	-0.410	-0.072
9.101	-0.410	-0.074
9.156	-0.420	-0.075
9.199	-0.420	-0.077
9.251	-0.420	-0.078
9.300	-0.420	-0.081
9.359	-0.430	-0.083
9.401	-0.430	-0.085
9.451	-0.430	-0.087
9.497	-0.430	-0.088
9.549	-0.440	-0.090
9.600	-0.440	-0.093
9.650	-0.440	-0.095
9.702	-0.440	-0.098
9.752	-0.450	-0.102
9.801	-0.450	-0.104
9.849	-0.450	-0.107
9.906	-0.450	-0.109
9.950	-0.460	-0.111
10.001	-0.460	-0.113
10.049	-0.460	-0.117
10.101	-0.460	-0.120
10.149	-0.470	-0.123
10.201	-0.470	-0.127
10.258	-0.470	-0.129
10.305	-0.470	-0.131
10.357	-0.480	-0.134
10.401	-0.480	-0.136
10.457	-0.480	-0.140
10.500	-0.480	-0.144
10.551	-0.490	-0.148
10.599	-0.490	-0.152
10.657	-0.490	-0.155
10.709	-0.490	-0.157
10.756	-0.500	-0.160
10.799	-0.500	-0.163
10.855	-0.500	-0.167
10.907	-0.500	-0.171
10.951	-0.510	-0.175
10.999	-0.510	-0.178
11.056	-0.510	-0.181
11.099	-0.510	-0.183
11.159	-0.520	-0.185
11.206	-0.520	-0.188
11.249	-0.520	-0.191
11.301	-0.520	-0.194
11.350	-0.530	-0.196
11.406	-0.530	-0.197
11.449	-0.530	-0.197
11.505	-0.530	-0.197
11.548	-0.540	-0.198
11.609	-0.540	-0.199
11.656	-0.540	-0.200
11.701	-0.540	-0.201
11.749	-0.550	-0.203
11.799	-0.550	-0.203
11.856	-0.550	-0.204
11.899	-0.550	-0.205
11.956	-0.560	-0.205
12.007	-0.560	-0.206
12.055	-0.560	-0.207
12.099	-0.560	-0.209
12.151	-0.570	-0.210
12.207	-0.570	-0.211
12.249	-0.570	-0.212
12.306	-0.570	-0.213
12.349	-0.580	-0.214
12.401	-0.580	-0.215
12.451	-0.580	-0.217
12.510	-0.580	-0.219
12.549	-0.590	-0.221
12.600	-0.590	-0.223
12.657	-0.590	-0.225
12.699	-0.590	-0.227
12.756	-0.600	-0.229
12.801	-0.600	-0.230
12.849	-0.600	-0.233
12.900	-0.600	-0.236
12.961	-0.610	-0.238
12.999	-0.610	-0.240
13.051	-0.610	-0.242
13.107	-0.610	-0.244
13.155	-0.620	-0.246
13.199	-0.620	-0.248
13.251	-0.620	-0.251
13.307	-0.620	-0.254
13.350	-0.630	-0.258
13.410	-0.630	-0.260
13.449	-0.630	-0.262
13.507	-0.630	-0.265
13.550	-0.640	-0.267
13.601	-0.640	-0.270
13.649	-0.640	-0.273
13.701	-0.640	-0.277
13.749	-0.650	-0.281
13.800	-0.650	-0.285
13.857	-0.650	-0.287
13.901	-0.650	-0.290
13.956	-0.660	-0.293
14.000	-0.660	-0.296
14.056	-0.660	-0.300
14.099	-0.660	-0.304
14.151	-0.670	-0.308
14.199	-0.670	-0.312
14.257	-0.670	-0.315
14.308	-0.670	-0.318
14.356	-0.680	-0.321
14.399	-0.680	-0.324
14.456	-0.680	-0.328
14.507	-0.680	-0.332
14.551	-0.690	-0.336
14.600	-0.690	-0.340
14.657	-0.690	-0.343
14.699	-0.690	-0.346
14.760	-0.700	-0.349
14.799	-0.700	-0.353
14.851	-0.700	-0.357
14.907	-0.700	-0.361
14.956	-0.710	-0.366
15.000	-0.710	-0.370
15.051	-0.710	-0.373
15.099	-0.710	-0.377
15.151	-0.720	-0.380
15.207	-0.720	-0.383
15.250	-0.720	-0.388
15.299	-0.720	-0.393
15.356	-0.730	-0.397
15.407	-0.730	-0.402
15.451	-0.730	-0.406
15.507	-0.730	-0.409
15.551	-0.740	-0.413
15.607	-0.740	-0.416
15.651	-0.740	-0.421
15.699	-0.740	-0.426
15.751	-0.750	-0.431
15.807	-0.750	-0.436
15.850	-0.750	-0.440
15.907	-0.750	-0.444
15.949	-0.760	-0.447
16.006	-0.760	-0.451
16.051	-0.760	-0.456
16.106	-0.760	-0.461
16.150	-0.770	-0.467
16.206	-0.770	-0.471
16.250	-0.770	-0.475
16.301	-0.770	-0.479
16.349	-0.780	-0.482
16.407	-0.780	-0.487
16.451	-0.780	-0.491
16.506	-0.780	-0.497
16.558	-0.790	-0.503
16.606	-0.790	-0.507
16.657	-0.790	-0.511
16.701	-0.790	-0.515
16.749	-0.800	-0.519
16.806	-0.800	-0.523
16.848	-0.800	-0.528
16.906	-0.800	-0.534
16.948	-0.810	-0.540
17.010	-0.810	-0.545
17.047	-0.810	-0.549
17.106	-0.810	-0.553
17.151	-0.820	-0.556
17.205	-0.820	-0.561
17.249	-0.820	-0.566
17.301	-0.820	-0.572
17.348	-0.830	-0.578
17.400	-0.830	-0.583
17.458	-0.830	-0.587
17.501	-0.830	-0.591
17.556	-0.840	-0.595
17.600	-0.840	-0.600
17.655	-0.840	-0.605
17.698	-0.840	-0.611
17.751	-0.850	-0.617
17.807	-0.850	-0.622
17.855	-0.850	-0.626
17.907	-0.850	-0.630
17.950	-0.860	-0.634
18.006	-0.860	-0.639
18.049	-0.860	-0.644
18.101	-0.860	-0.650
18.157	-0.870	-0.656
18.205	-0.870	-0.662
18.249	-0.870	-0.666
18.301	-0.870	-0.670
18.347	-0.880	-0.674
18.400	-0.880	-0.678
18.455	-0.880	-0.684
18.499	-0.880	-0.691
18.557	-0.890	-0.697
18.601	-0.890	-0.702
18.651	-0.890	-0.706
18.698	-0.890	-0.710
18.751	-0.900	-0.714
18.797	-0.900	-0.719
18.850	-0.900	-0.725
18.897	-0.900	-0.731
18.951	-0.910	-0.736
19.006	-0.910	-0.742
19.050	-0.910	-0.747
19.105	-0.910	-0.751
19.150	-0.920	-0.755
19.201	-0.920	-0.759
19.250	-0.920	-0.765
19.306	-0.920	-0.772
19.357	-0.930	-0.777
19.401	-0.930	-0.783
19.456	-0.930	-0.788
19.501	-0.930	-0.792
19.551	-0.940	-0.796
19.599	-0.940	-0.801
19.657	-0.940	-0.807
19.708	-0.940	-0.813
19.756	-0.950	-0.819
19.807	-0.950	-0.824
19.851	-0.950	-0.829
19.906	-0.950	-0.833
19.949	-0.960	-0.838
20.007	-0.960	-0.843
20.050	-0.960	-0.848
20.102	-0.960	-0.854
20.159	-0.970	-0.860
