Time(s)	Extension(mm)	Load(N)
0.001	0.000	-0.000
0.020	0.000	-0.000
0.071	0.000	0.000
0.119	0.000	-0.000
0.170	0.000	-0.000
0.222	0.000	-0.000
0.275	0.000	-0.000
0.323	0.000	-0.000
0.370	0.000	0.000
0.419	0.000	0.000
0.471	0.000	-0.000
0.526	-0.000	-0.000
0.590	-0.000	0.000
0.640	-0.010	-0.000
0.690	-0.010	-0.000
0.747	-0.010	-0.000
0.791	-0.010	-0.000
0.839	-0.020	-0.000
0.890	-0.020	-0.000
0.947	-0.020	0.000
0.988	-0.020	-0.000
1.046	-0.030	-0.000
1.090	-0.030	-0.000
1.147	-0.030	-0.000
1.190	-0.030	-0.000
1.240	-0.040	0.000
1.291	-0.040	0.000
1.338	-0.040	-0.000
1.397	-0.040	-0.000
1.440	-0.050	-0.000
1.497	-0.050	-0.000
1.540	-0.050	0.000
1.588	-0.050	-0.000
1.640	-0.060	-0.000
1.692	-0.060	-0.000
1.742	-0.060	-0.000
1.789	-0.060	-0.000
1.842	-0.070	-0.000
1.898	-0.070	-0.000
1.940	-0.070	-0.000
1.990	-0.070	-0.000
2.038	-0.080	-0.000
2.090	-0.080	0.000
2.138	-0.080	-0.000
2.191	-0.080	-0.000
2.248	-0.090	-0.000
2.289	-0.090	-0.000
2.340	-0.090	-0.000
2.397	-0.090	-0.000
2.440	-0.100	0.000
2.487	-0.100	-0.000
2.540	-0.100	0.000
2.590	-0.100	-0.000
2.649	-0.110	0.000
2.689	-0.110	0.000
2.732	-0.110	-0.000
2.788	-0.110	-0.000
2.838	-0.120	0.000
2.887	-0.120	-0.000
2.940	-0.120	0.000
2.989	-0.120	-0.000
3.040	-0.130	-0.000
3.092	-0.130	-0.000
3.139	-0.130	-0.000
3.189	-0.130	-0.000
3.240	-0.140	-0.000
3.297	-0.140	-0.000
3.340	-0.140	-0.000
3.390	-0.140	-0.000
3.442	-0.150	-0.000
3.490	-0.150	-0.000
3.549	-0.150	-0.000
3.591	-0.150	-0.000
3.639	-0.160	0.000
3.688	-0.160	-0.000
3.739	-0.160	-0.000
3.790	-0.160	-0.000
3.842	-0.170	-0.000
3.890	-0.170	0.000
3.937	-0.170	-0.000
3.990	-0.170	-0.000
4.042	-0.180	-0.000
4.092	-0.180	-0.000
4.139	-0.180	-0.000
4.192	-0.180	-0.000
4.247	-0.190	-0.000
4.298	-0.190	-0.000
4.340	-0.190	-0.000
4.393	-0.190	-0.000
4.446	-0.200	-0.000
4.490	-0.200	-0.000
4.542	-0.200	-0.000
4.590	-0.200	-0.000
4.639	-0.210	-0.000
4.690	-0.210	-0.000
4.746	-0.210	-0.000
4.789	-0.210	-0.000
4.840	-0.220	-0.000
4.892	-0.220	-0.000
4.947	-0.220	-0.000
4.997	-0.220	-0.000
5.040	-0.230	-0.000
5.092	-0.230	-0.000
5.147	-0.230	-0.000
5.198	-0.230	-0.000
5.240	-0.240	0.000
5.289	-0.240	-0.000
5.348	-0.240	-0.000
5.390	-0.240	-0.000
5.447	-0.250	-0.000
5.490	-0.250	-0.000
5.540	-0.250	-0.000
5.591	-0.250	-0.000
5.647	-0.260	-0.000
5.690	-0.260	-0.000
5.740	-0.260	-0.000
5.792	-0.260	-0.000
5.838	-0.270	-0.000
5.888	-0.270	-0.001
5.940	-0.270	-0.002
5.992	-0.270	-0.002
6.048	-0.280	-0.003
6.097	-0.280	-0.003
6.140	-0.280	-0.004
6.190	-0.280	-0.005
6.248	-0.290	-0.006
6.291	-0.290	-0.008
6.347	-0.290	-0.008
6.390	-0.290	-0.009
6.440	-0.300	-0.009
6.490	-0.300	-0.010
6.542	-0.300	-0.011
6.597	-0.300	-0.012
6.638	-0.310	-0.013
6.690	-0.310	-0.013
6.742	-0.310	-0.014
6.792	-0.310	-0.015
6.839	-0.320	-0.016
6.889	-0.320	-0.016
6.940	-0.320	-0.017
6.990	-0.320	-0.019
7.042	-0.330	-0.020
7.090	-0.330	-0.021
7.148	-0.330	-0.021
7.190	-0.330	-0.022
7.242	-0.340	-0.023
7.292	-0.340	-0.024
7.342	-0.340	-0.025
7.389	-0.340	-0.026
7.442	-0.350	-0.027
7.497	-0.350	-0.028
7.547	-0.350	-0.029
7.596	-0.350	-0.030
7.639	-0.360	-0.031
7.690	-0.360	-0.031
7.741	-0.360	-0.032
7.788	-0.360	-0.034
7.840	-0.370	-0.035
7.890	-0.370	-0.036
