Time(s)	Extension(mm)	Load(N)
0.001	0.000	-0.000
0.021	0.000	-0.000
0.041	0.000	0.000
0.089	0.000	-0.000
0.140	0.000	0.000
0.189	0.000	-0.000
0.241	0.000	-0.000
0.291	0.000	-0.000
0.342	0.000	0.000
0.387	0.000	0.000
0.439	0.000	-0.000
0.491	0.000	-0.000
0.544	0.000	-0.000
0.590	0.000	-0.000
0.644	0.000	0.000
0.687	0.000	0.000
0.741	-0.000	-0.000
0.810	-0.000	0.000
0.858	-0.010	0.000
0.902	-0.010	-0.000
0.959	-0.010	-0.000
1.010	-0.010	0.000
1.059	-0.020	0.000
1.107	-0.020	-0.000
1.160	-0.020	0.000
1.208	-0.020	0.000
1.251	-0.030	0.000
1.298	-0.030	-0.000
1.368	-0.030	0.000
1.408	-0.030	-0.000
1.461	-0.040	0.000
1.510	-0.040	0.000
1.552	-0.040	0.000
1.608	-0.040	-0.000
1.661	-0.050	-0.000
1.718	-0.050	0.000
1.760	-0.050	-0.000
1.818	-0.050	-0.000
1.860	-0.060	0.000
1.908	-0.060	0.000
1.949	-0.060	0.000
2.007	-0.060	-0.000
2.059	-0.070	0.000
2.102	-0.070	0.000
2.158	-0.070	0.000
2.202	-0.070	0.000
2.261	-0.080	0.000
2.308	-0.080	0.000
2.352	-0.080	-0.000
2.413	-0.080	-0.000
2.463	-0.090	0.000
2.503	-0.090	0.000
2.549	-0.090	0.000
2.603	-0.090	0.000
2.657	-0.100	-0.000
2.710	-0.100	0.000
2.760	-0.100	0.000
2.799	-0.100	-0.000
2.860	-0.110	-0.000
2.909	-0.110	0.000
2.958	-0.110	0.000
3.008	-0.110	-0.000
3.060	-0.120	0.000
3.110	-0.120	0.000
3.160	-0.120	0.000
3.202	-0.120	-0.000
3.260	-0.130	-0.001
3.311	-0.130	-0.001
3.362	-0.130	-0.002
3.417	-0.130	-0.003
3.461	-0.140	-0.004
3.513	-0.140	-0.005
3.562	-0.140	-0.005
3.613	-0.140	-0.006
3.660	-0.150	-0.006
3.710	-0.150	-0.007
3.762	-0.150	-0.008
3.809	-0.150	-0.008
3.861	-0.160	-0.009
3.912	-0.160	-0.009
3.968	-0.160	-0.010
4.009	-0.160	-0.010
4.068	-0.170	-0.011
4.111	-0.170	-0.012
4.168	-0.170	-0.012
4.210	-0.170	-0.013
4.261	-0.180	-0.013
4.312	-0.180	-0.014
4.363	-0.180	-0.015
4.410	-0.180	-0.015
4.460	-0.190	-0.016
4.517	-0.190	-0.016
4.560	-0.190	-0.017
4.610	-0.190	-0.017
4.662	-0.200	-0.018
4.712	-0.200	-0.019
4.760	-0.200	-0.020
4.810	-0.200	-0.020
4.863	-0.210	-0.020
4.910	-0.210	-0.021
4.969	-0.210	-0.021
5.010	-0.210	-0.022
5.060	-0.220	-0.023
5.112	-0.220	-0.024
5.163	-0.220	-0.024
5.209	-0.220	-0.025
5.261	-0.230	-0.026
5.312	-0.230	-0.026
5.363	-0.230	-0.027
5.413	-0.230	-0.027
5.459	-0.240	-0.028
5.510	-0.240	-0.029
5.560	-0.240	-0.030
5.613	-0.240	-0.030
5.659	-0.250	-0.031
5.710	-0.250	-0.031
5.761	-0.250	-0.032
5.811	-0.250	-0.033
5.871	-0.260	-0.034
5.913	-0.260	-0.035
5.960	-0.260	-0.036
6.012	-0.260	-0.037
6.062	-0.270	-0.037
6.113	-0.270	-0.038
6.162	-0.270	-0.038
6.210	-0.270	-0.039
6.260	-0.280	-0.040
6.313	-0.280	-0.041
6.359	-0.280	-0.042
6.417	-0.280	-0.043
6.460	-0.290	-0.043
6.510	-0.290	-0.044
6.561	-0.290	-0.045
6.610	-0.290	-0.046
6.663	-0.300	-0.047
6.710	-0.300	-0.048
6.769	-0.300	-0.049
6.811	-0.300	-0.049
6.862	-0.310	-0.050
6.913	-0.310	-0.050
6.962	-0.310	-0.051
7.010	-0.310	-0.052
7.061	-0.320	-0.053
7.117	-0.320	-0.054
7.163	-0.320	-0.055
7.213	-0.320	-0.055
7.258	-0.330	-0.056
7.310	-0.330	-0.057
7.361	-0.330	-0.057
7.413	-0.330	-0.059
7.460	-0.340	-0.060
7.509	-0.340	-0.060
7.560	-0.340	-0.061
7.611	-0.340	-0.062
7.670	-0.350	-0.062
7.713	-0.350	-0.063
7.760	-0.350	-0.064
7.811	-0.350	-0.065
7.860	-0.360	-0.066
7.913	-0.360	-0.066
7.963	-0.360	-0.067
8.010	-0.360	-0.068
8.060	-0.370	-0.068
8.112	-0.370	-0.069
8.168	-0.370	-0.070
8.218	-0.370	-0.070
8.260	-0.380	-0.071
8.310	-0.380	-0.072
8.362	-0.380	-0.073
8.412	-0.380	-0.073
8.468	-0.390	-0.074
8.511	-0.390	-0.074
8.570	-0.390	-0.075
8.612	-0.390	-0.076
8.663	-0.400	-0.077
8.710	-0.400	-0.077
8.760	-0.400	-0.078
8.811	-0.400	-0.078
8.867	-0.410	-0.079
8.910	-0.410	-0.079
8.960	-0.410	-0.080
9.018	-0.410	-0.080
9.060	-0.420	-0.081
9.111	-0.420	-0.081
9.163	-0.420	-0.082
9.210	-0.420	-0.082
9.260	-0.430	-0.082
9.310	-0.430	-0.083
9.361	-0.430	-0.083
9.410	-0.430	-0.084
9.471	-0.440	-0.085
9.513	-0.440	-0.085
9.560	-0.440	-0.085
9.611	-0.440	-0.086
9.660	-0.450	-0.086
9.711	-0.450	-0.087
9.761	-0.450	-0.087
9.813	-0.450	-0.088
9.862	-0.460	-0.088
9.908	-0.460	-0.089
9.961	-0.460	-0.089
10.011	-0.460	-0.090
10.062	-0.470	-0.090
10.112	-0.470	-0.091
10.163	-0.470	-0.091
10.212	-0.470	-0.092
10.259	-0.480	-0.093
10.311	-0.480	-0.093
10.370	-0.480	-0.094
10.412	-0.480	-0.094
10.462	-0.490	-0.095
10.513	-0.490	-0.095
10.562	-0.490	-0.096
10.610	-0.490	-0.097
10.661	-0.500	-0.098
10.713	-0.500	-0.099
10.762	-0.500	-0.099
10.808	-0.500	-0.100
10.858	-0.510	-0.100
10.917	-0.510	-0.101
10.960	-0.510	-0.102
11.017	-0.510	-0.103
11.061	-0.520	-0.104
11.113	-0.520	-0.105
11.160	-0.520	-0.106
11.212	-0.520	-0.106
11.260	-0.530	-0.107
11.312	-0.530	-0.108
11.360	-0.530	-0.108
11.418	-0.530	-0.110
11.468	-0.540	-0.111
11.512	-0.540	-0.111
11.568	-0.540	-0.112
11.612	-0.540	-0.113
11.667	-0.550	-0.114
11.712	-0.550	-0.114
11.760	-0.550	-0.115
11.812	-0.550	-0.116
11.869	-0.560	-0.117
11.911	-0.560	-0.118
11.967	-0.560	-0.119
12.019	-0.560	-0.119
12.066	-0.570	-0.120
12.112	-0.570	-0.121
12.173	-0.570	-0.122
12.211	-0.570	-0.123
12.262	-0.580	-0.124
12.311	-0.580	-0.125
12.362	-0.580	-0.125
12.418	-0.580	-0.126
12.467	-0.590	-0.127
12.512	-0.590	-0.127
12.562	-0.590	-0.128
12.619	-0.590	-0.129
12.662	-0.600	-0.130
12.718	-0.600	-0.131
12.762	-0.600	-0.131
12.811	-0.600	-0.132
12.867	-0.610	-0.132
12.918	-0.610	-0.133
12.962	-0.610	-0.133
13.018	-0.610	-0.134
13.070	-0.620	-0.135
13.118	-0.620	-0.135
13.162	-0.620	-0.135
13.219	-0.620	-0.136
13.261	-0.630	-0.136
13.318	-0.630	-0.136
13.361	-0.630	-0.137
13.418	-0.630	-0.138
13.460	-0.640	-0.138
13.518	-0.640	-0.139
13.561	-0.640	-0.139
13.612	-0.640	-0.139
13.660	-0.650	-0.140
13.712	-0.650	-0.140
13.769	-0.650	-0.141
13.812	-0.650	-0.141
13.869	-0.660	-0.142
13.917	-0.660	-0.143
13.968	-0.660	-0.143
14.013	-0.660	-0.144
14.068	-0.670	-0.144
14.112	-0.670	-0.145
14.168	-0.670	-0.145
14.212	-0.670	-0.146
14.260	-0.680	-0.147
14.318	-0.680	-0.147
14.360	-0.680	-0.148
14.421	-0.680	-0.148
14.468	-0.690	-0.149
14.512	-0.690	-0.149
14.569	-0.690	-0.150
14.613	-0.690	-0.151
14.660	-0.700	-0.151
14.712	-0.700	-0.152
14.761	-0.700	-0.153
14.813	-0.700	-0.153
14.868	-0.710	-0.154
14.913	-0.710	-0.155
14.962	-0.710	-0.155
15.018	-0.710	-0.156
15.060	-0.720	-0.157
15.117	-0.720	-0.158
15.168	-0.720	-0.159
15.217	-0.720	-0.159
15.268	-0.730	-0.160
15.317	-0.730	-0.161
15.362	-0.730	-0.162
15.417	-0.730	-0.163
15.461	-0.740	-0.164
15.513	-0.740	-0.165
15.561	-0.740	-0.166
15.613	-0.740	-0.167
15.660	-0.750	-0.167
15.718	-0.750	-0.168
15.770	-0.750	-0.169
15.818	-0.750	-0.171
15.861	-0.760	-0.172
15.917	-0.760	-0.173
15.968	-0.760	-0.174
16.013	-0.760	-0.175
16.060	-0.770	-0.176
16.118	-0.770	-0.177
16.161	-0.770	-0.178
16.222	-0.770	-0.179
16.260	-0.780	-0.181
16.312	-0.780	-0.182
16.369	-0.780	-0.183
16.418	-0.780	-0.184
16.461	-0.790	-0.185
16.513	-0.790	-0.186
16.560	-0.790	-0.187
16.612	-0.790	-0.189
16.668	-0.800	-0.190
16.712	-0.800	-0.191
16.761	-0.800	-0.192
16.817	-0.800	-0.193
16.860	-0.810	-0.194
16.913	-0.810	-0.195
16.968	-0.810	-0.196
17.012	-0.810	-0.197
17.069	-0.820	-0.198
17.113	-0.820	-0.200
17.161	-0.820	-0.201
17.212	-0.820	-0.201
17.268	-0.830	-0.202
17.311	-0.830	-0.203
17.367	-0.830	-0.205
17.419	-0.830	-0.206
17.462	-0.840	-0.207
17.511	-0.840	-0.208
17.572	-0.840	-0.209
17.618	-0.840	-0.210
17.661	-0.850	-0.211
17.718	-0.850	-0.212
17.769	-0.850	-0.213
17.813	-0.850	-0.215
17.861	-0.860	-0.216
17.918	-0.860	-0.217
17.960	-0.860	-0.218
18.021	-0.860	-0.219
18.068	-0.870	-0.220
18.119	-0.870	-0.221
18.162	-0.870	-0.222
18.211	-0.870	-0.223
18.267	-0.880	-0.225
18.319	-0.880	-0.226
18.364	-0.880	-0.227
18.419	-0.880	-0.228
18.469	-0.890	-0.229
18.514	-0.890	-0.230
18.562	-0.890	-0.231
18.618	-0.890	-0.232
18.669	-0.900	-0.234
18.713	-0.900	-0.235
18.769	-0.900	-0.235
18.813	-0.900	-0.236
18.864	-0.910	-0.237
18.912	-0.910	-0.238
18.969	-0.910	-0.240
19.020	-0.910	-0.241
19.064	-0.920	-0.242
19.119	-0.920	-0.243
19.163	-0.920	-0.244
19.213	-0.920	-0.245
19.261	-0.930	-0.246
19.319	-0.930	-0.247
19.370	-0.930	-0.248
19.413	-0.930	-0.250
19.469	-0.940	-0.251
19.513	-0.940	-0.252
19.564	-0.940	-0.253
19.611	-0.940	-0.254
19.668	-0.950	-0.255
19.713	-0.950	-0.256
19.763	-0.950	-0.257
19.819	-0.950	-0.259
19.863	-0.960	-0.260
19.918	-0.960	-0.261
19.961	-0.960	-0.262
20.019	-0.960	-0.263
20.063	-0.970	-0.264
20.114	-0.970	-0.265
20.161	-0.970	-0.266
20.213	-0.970	-0.267
20.274	-0.980	-0.269
20.312	-0.980	-0.270
20.369	-0.980	-0.271
20.413	-0.980	-0.271
20.464	-0.990	-0.273
20.511	-0.990	-0.274
20.563	-0.990	-0.275
20.620	-0.990	-0.276
20.661	-1.000	-0.277
20.720	-1.000	-0.279
20.764	-1.000	-0.280
20.819	-1.000	-0.280
20.863	-1.010	-0.281
20.914	-1.010	-0.282
20.962	-1.010	-0.284
21.014	-1.010	-0.285
21.070	-1.020	-0.286
21.119	-1.020	-0.287
21.170	-1.020	-0.289
21.213	-1.020	-0.289
21.269	-1.030	-0.290
21.313	-1.030	-0.292
21.368	-1.030	-0.293
21.412	-1.030	-0.294
21.469	-1.040	-0.296
21.514	-1.040	-0.297
21.569	-1.040	-0.297
21.621	-1.040	-0.298
21.668	-1.050	-0.299
21.720	-1.050	-0.301
21.764	-1.050	-0.302
21.812	-1.050	-0.303
21.868	-1.060	-0.305
21.920	-1.060	-0.306
21.964	-1.060	-0.307
22.019	-1.060	-0.308
22.071	-1.070	-0.308
22.118	-1.070	-0.310
22.164	-1.070	-0.311
22.220	-1.070	-0.312
22.263	-1.080	-0.314
22.320	-1.080	-0.315
22.362	-1.080	-0.316
22.419	-1.080	-0.317
22.462	-1.090	-0.318
22.519	-1.090	-0.319
22.563	-1.090	-0.321
22.619	-1.090	-0.322
22.663	-1.100	-0.323
22.718	-1.100	-0.324
22.762	-1.100	-0.325
22.814	-1.100	-0.326
22.862	-1.110	-0.327
22.920	-1.110	-0.329
22.971	-1.110	-0.330
23.019	-1.110	-0.331
23.062	-1.120	-0.333
23.114	-1.120	-0.334
23.170	-1.120	-0.335
23.214	-1.120	-0.336
23.262	-1.130	-0.337
23.319	-1.130	-0.338
23.362	-1.130	-0.339
23.422	-1.130	-0.341
23.470	-1.140	-0.342
23.512	-1.140	-0.343
23.569	-1.140	-0.344
23.614	-1.140	-0.345
23.670	-1.150	-0.346
23.713	-1.150	-0.347
23.770	-1.150	-0.349
23.812	-1.150	-0.350
23.873	-1.160	-0.351
23.912	-1.160	-0.352
23.969	-1.160	-0.353
24.013	-1.160	-0.354
24.064	-1.170	-0.355
24.113	-1.170	-0.356
24.163	-1.170	-0.358
24.212	-1.170	-0.359
24.263	-1.180	-0.361
24.321	-1.180	-0.362
24.368	-1.180	-0.363
24.420	-1.180	-0.363
24.464	-1.190	-0.365
24.519	-1.190	-0.366
24.563	-1.190	-0.367
24.614	-1.190	-0.369
24.662	-1.200	-0.370
24.720	-1.200	-0.371
24.772	-1.200	-0.372
24.819	-1.200	-0.373
24.862	-1.210	-0.374
24.918	-1.210	-0.375
24.970	-1.210	-0.377
25.014	-1.210	-0.378
25.062	-1.220	-0.379
25.119	-1.220	-0.380
25.162	-1.220	-0.381
25.222	-1.220	-0.382
25.270	-1.230	-0.383
25.312	-1.230	-0.385
25.369	-1.230	-0.386
25.414	-1.230	-0.387
25.470	-1.240	-0.389
