Time(s)	Extension(mm)	Load(N)
0.001	0.000	0.000
0.007	0.000	-0.001
0.024	0.000	-0.001
0.044	0.000	-0.001
0.095	0.000	-0.001
0.144	0.000	-0.001
0.197	0.000	-0.001
0.247	0.000	-0.001
0.293	0.000	-0.001
0.342	0.000	-0.001
0.397	0.000	-0.001
0.447	0.000	-0.001
0.493	0.000	-0.001
0.589	0.000	-0.001
0.641	0.000	-0.001
0.690	0.000	-0.001
0.739	0.000	-0.001
0.789	0.000	-0.001
0.839	0.000	-0.001
0.890	0.000	-0.001
0.941	0.000	-0.001
0.993	0.000	-0.001
1.043	0.000	-0.001
1.091	0.000	-0.001
1.141	0.000	-0.001
1.191	0.000	-0.001
1.241	0.000	-0.001
1.289	0.000	-0.001
1.339	0.000	-0.001
1.389	0.000	-0.001
1.443	0.000	-0.001
1.493	0.000	-0.001
1.539	0.000	-0.001
1.589	0.000	-0.001
1.640	0.000	-0.001
1.690	0.000	-0.001
1.741	0.000	-0.001
1.791	0.000	-0.001
1.849	-0.000	-0.001
1.909	-0.000	-0.001
1.961	-0.000	-0.001
2.011	-0.010	-0.001
2.058	-0.010	-0.001
2.110	-0.010	-0.001
2.166	-0.010	-0.001
2.208	-0.010	-0.001
2.259	-0.010	-0.001
2.307	-0.020	-0.002
2.367	-0.020	-0.002
2.409	-0.020	-0.002
2.459	-0.020	-0.003
2.511	-0.020	-0.003
2.561	-0.020	-0.003
2.608	-0.030	-0.003
2.660	-0.030	-0.004
2.711	-0.030	-0.004
2.761	-0.030	-0.004
2.811	-0.030	-0.004
2.857	-0.030	-0.005
2.908	-0.040	-0.004
2.959	-0.040	-0.005
3.011	-0.040	-0.005
3.066	-0.040	-0.005
3.112	-0.040	-0.006
3.159	-0.040	-0.006
3.208	-0.050	-0.006
3.267	-0.050	-0.006
3.309	-0.050	-0.006
3.361	-0.050	-0.006
3.407	-0.050	-0.007
3.462	-0.050	-0.007
3.507	-0.060	-0.007
3.558	-0.060	-0.008
3.609	-0.060	-0.008
