Time(s)	Extension(mm)	Load(N)
0.001	0.000	0.001
0.019	0.000	0.001
0.040	0.000	0.001
0.075	0.000	0.001
0.127	0.000	0.001
0.177	0.000	0.001
0.229	0.000	0.001
0.276	0.000	0.001
0.327	0.000	0.001
0.376	0.000	0.001
0.429	0.000	0.001
0.474	0.000	0.001
0.524	0.000	0.001
0.575	0.000	0.001
0.629	0.000	0.001
0.674	0.000	0.001
0.729	0.000	0.001
0.775	0.000	0.001
0.827	0.000	0.001
0.876	0.000	0.001
0.932	-0.000	0.001
0.995	-0.000	0.001
1.052	-0.010	0.001
1.102	-0.010	0.001
1.145	-0.010	0.001
1.194	-0.010	0.001
1.247	-0.020	0.001
1.297	-0.020	0.001
1.345	-0.020	0.001
1.402	-0.020	0.001
1.452	-0.030	0.001
1.495	-0.030	0.001
1.551	-0.030	0.001
1.594	-0.030	0.001
1.645	-0.040	0.001
1.697	-0.040	0.001
1.745	-0.040	0.001
1.804	-0.040	0.001
1.847	-0.050	0.001
1.895	-0.050	0.001
1.947	-0.050	0.001
1.997	-0.050	0.001
2.044	-0.060	0.001
2.096	-0.060	0.001
2.152	-0.060	0.001
2.202	-0.060	0.001
2.245	-0.070	0.001
2.297	-0.070	0.001
2.347	-0.070	0.001
2.394	-0.070	0.001
2.446	-0.080	0.001
2.502	-0.080	0.001
2.552	-0.080	0.001
2.595	-0.080	0.001
2.643	-0.090	0.001
2.702	-0.090	0.001
2.744	-0.090	0.001
2.797	-0.090	0.001
2.844	-0.100	0.001
2.895	-0.100	0.001
2.946	-0.100	0.001
2.994	-0.100	0.001
3.045	-0.110	0.001
3.097	-0.110	0.001
3.153	-0.110	0.001
3.196	-0.110	0.001
3.246	-0.120	0.001
3.297	-0.120	0.001
3.345	-0.120	0.001
3.396	-0.120	0.001
3.446	-0.130	0.001
3.498	-0.130	0.001
3.546	-0.130	0.001
3.605	-0.130	0.001
3.647	-0.140	0.001
3.695	-0.140	0.001
3.746	-0.140	0.001
3.797	-0.140	0.001
3.848	-0.150	0.001
3.895	-0.150	0.001
3.947	-0.150	0.001
3.997	-0.150	0.001
4.054	-0.160	0.001
4.096	-0.160	0.001
4.146	-0.160	0.001
4.198	-0.160	0.001
4.245	-0.170	0.001
4.297	-0.170	0.001
4.347	-0.170	0.001
4.402	-0.170	0.001
4.446	-0.180	0.001
