Time(s)	Extension(mm)	Load(N)
0.001	0.000	0.000
0.022	0.000	0.001
0.044	0.000	0.000
0.078	0.000	0.001
0.130	0.000	0.000
0.180	0.000	0.001
0.228	0.000	0.001
0.279	0.000	0.001
0.328	0.000	0.000
0.378	0.000	0.000
0.432	0.000	0.000
0.478	0.000	0.001
0.527	0.000	0.001
0.579	0.000	0.000
0.632	0.000	0.001
0.680	0.000	0.000
0.732	0.000	0.001
0.778	0.000	0.001
0.829	0.000	0.001
0.880	0.000	0.001
0.932	0.000	0.001
0.978	0.000	0.001
1.030	0.000	0.001
1.079	0.000	0.001
1.132	0.000	0.001
1.178	0.000	0.000
1.228	0.000	0.001
1.279	0.000	0.000
1.332	0.000	0.001
1.378	0.000	0.001
1.432	0.000	0.000
1.478	0.000	0.001
1.529	0.000	0.000
1.584	-0.000	0.001
1.650	-0.000	0.001
1.698	-0.010	0.000
1.755	-0.010	0.000
1.805	-0.010	0.000
1.848	-0.010	0.000
1.905	-0.020	0.001
1.948	-0.020	0.000
2.000	-0.020	0.001
2.047	-0.020	0.001
2.100	-0.030	0.000
2.150	-0.030	0.000
2.197	-0.030	0.001
2.250	-0.030	0.000
2.296	-0.040	0.000
2.347	-0.040	0.001
2.399	-0.040	0.001
2.447	-0.040	0.000
2.506	-0.050	0.000
2.548	-0.050	0.001
2.597	-0.050	0.001
2.648	-0.050	0.000
2.698	-0.060	0.000
2.750	-0.060	0.001
2.798	-0.060	0.000
2.850	-0.060	0.001
2.899	-0.070	0.001
2.946	-0.070	0.001
2.998	-0.070	0.000
3.049	-0.070	0.000
3.105	-0.080	0.001
3.148	-0.080	0.000
3.200	-0.080	0.001
3.250	-0.080	0.000
3.297	-0.090	0.000
3.350	-0.090	0.000
3.409	-0.090	0.000
3.446	-0.090	0.000
3.496	-0.100	-0.001
3.548	-0.100	-0.001
3.598	-0.100	-0.002
3.654	-0.100	-0.003
3.705	-0.110	-0.003
3.748	-0.110	-0.003
3.799	-0.110	-0.004
3.854	-0.110	-0.004
3.898	-0.120	-0.005
3.947	-0.120	-0.005
3.999	-0.120	-0.006
4.049	-0.120	-0.006
4.104	-0.130	-0.007
4.155	-0.130	-0.007
4.198	-0.130	-0.008
4.246	-0.130	-0.008
4.305	-0.140	-0.008
4.348	-0.140	-0.009
4.398	-0.140	-0.009
4.450	-0.140	-0.010
4.500	-0.150	-0.010
4.547	-0.150	-0.011
4.600	-0.150	-0.011
4.647	-0.150	-0.011
4.698	-0.160	-0.012
4.757	-0.160	-0.012
4.799	-0.160	-0.013
4.850	-0.160	-0.013
4.897	-0.170	-0.014
4.950	-0.170	-0.014
5.006	-0.170	-0.015
5.055	-0.170	-0.015
5.098	-0.180	-0.015
5.149	-0.180	-0.016
5.209	-0.180	-0.016
5.246	-0.180	-0.017
5.299	-0.190	-0.017
5.355	-0.190	-0.018
5.405	-0.190	-0.018
5.448	-0.190	-0.018
5.498	-0.200	-0.019
5.550	-0.200	-0.019
5.606	-0.200	-0.020
5.648	-0.200	-0.020
5.700	-0.210	-0.021
5.750	-0.210	-0.021
5.797	-0.210	-0.022
5.847	-0.210	-0.022
5.898	-0.220	-0.023
5.948	-0.220	-0.023
6.000	-0.220	-0.024
6.048	-0.220	-0.024
6.106	-0.230	-0.025
6.148	-0.230	-0.025
6.198	-0.230	-0.026
6.250	-0.230	-0.026
6.300	-0.240	-0.026
6.346	-0.240	-0.027
6.399	-0.240	-0.027
6.455	-0.240	-0.028
6.500	-0.250	-0.028
6.550	-0.250	-0.028
6.597	-0.250	-0.029
6.647	-0.250	-0.029
6.698	-0.260	-0.030
6.746	-0.260	-0.030
6.798	-0.260	-0.031
6.848	-0.260	-0.032
6.899	-0.270	-0.032
6.949	-0.270	-0.032
7.009	-0.270	-0.033
7.046	-0.270	-0.034
7.099	-0.280	-0.034
7.150	-0.280	-0.035
7.200	-0.280	-0.036
7.255	-0.280	-0.037
7.296	-0.290	-0.037
7.348	-0.290	-0.038
7.398	-0.290	-0.038
