Time(s)	Extension(mm)	Load(N)
0.001	0.000	-0.000
0.019	0.000	-0.000
0.038	0.000	-0.000
0.084	0.000	-0.000
0.133	0.000	-0.000
0.185	0.000	-0.000
0.235	0.000	-0.000
0.287	0.000	-0.000
0.335	0.000	-0.000
0.384	0.000	-0.000
0.435	0.000	-0.000
0.484	0.000	-0.000
0.537	0.000	-0.000
0.587	0.000	-0.000
0.637	0.000	-0.000
0.687	0.000	-0.000
0.735	0.000	-0.000
0.786	0.000	-0.000
0.835	0.000	-0.000
0.883	0.000	-0.000
0.937	0.000	-0.000
0.983	0.000	-0.000
1.037	0.000	-0.000
1.085	0.000	-0.000
1.135	0.000	-0.000
1.187	0.000	-0.000
1.233	0.000	-0.000
1.283	0.000	-0.000
1.333	0.000	-0.000
1.383	0.000	-0.000
1.437	0.000	-0.000
1.487	0.000	-0.000
1.537	0.000	-0.000
1.595	-0.000	-0.000
1.653	-0.010	-0.000
1.705	-0.010	-0.000
1.752	-0.010	-0.000
1.803	-0.010	-0.001
1.854	-0.020	0.000
1.903	-0.020	0.000
1.951	-0.020	-0.001
2.005	-0.030	-0.001
2.051	-0.030	-0.000
2.104	-0.030	0.000
2.160	-0.040	-0.001
2.203	-0.040	-0.001
2.255	-0.040	-0.000
2.305	-0.050	-0.001
2.355	-0.050	-0.001
2.402	-0.050	0.000
2.453	-0.060	0.000
2.504	-0.060	-0.001
2.555	-0.060	-0.001
2.610	-0.060	-0.000
2.652	-0.070	0.000
2.703	-0.070	-0.001
2.755	-0.070	-0.000
2.802	-0.080	0.000
2.850	-0.080	-0.000
2.905	-0.080	-0.001
2.952	-0.090	0.000
3.001	-0.090	-0.000
3.055	-0.090	-0.001
3.110	-0.100	0.000
3.151	-0.100	0.000
3.203	-0.100	-0.000
3.252	-0.110	0.000
3.300	-0.110	0.000
3.352	-0.110	-0.001
3.403	-0.110	-0.001
3.453	-0.120	-0.000
3.505	-0.120	-0.001
3.556	-0.120	-0.000
3.605	-0.130	0.000
3.653	-0.130	0.000
3.705	-0.130	-0.001
3.756	-0.140	-0.001
3.808	-0.140	0.000
3.845	-0.140	-0.000
3.903	-0.150	0.000
3.955	-0.150	-0.000
4.010	-0.150	0.000
